线路,旧记录,新记录
259路,259路(嘉禾长湴总站--罗冲围总站(松南路))(32站) / 259路(罗冲围总站(松南路)--嘉禾长湴总站)(31站),→,259路(罗冲围(松南)总站--广花一路(夏花一路口)1号分站)(22站) / 259路(广花一路(夏花一路口)1号分站--罗冲围总站(松南路))(22站)
701路,701路(太营路口总站--汇通广场总站)(39站) / 701路(汇通广场总站--太营路口站)(40站),→,701路(人和总站--乐同村)(28站) / 701路(乐同村--人和总站)(30站)
B4B路,B4B路(体育中心--沐陂村总站)(20站) / B4B路(沐陂村总站--体育中心)(17站),→,B4B路(沐陂村--沐陂村)(19站)
B6路快线,B6路快线(同和路总站--汇彩路)(33站) / B6路快线(汇彩路总站--同和路总站)(30站),→,B6路快线(体育中心(西行)--同和路总站)(21站) / B6路快线(同和路总站--体育中心)(21站)
南沙1路,南沙1路(广州船坞总站--蕉门公交总站)(25站) / 南沙1路(蕉门公交总站--广州船坞总站)(29站),→,南沙1路(金岭南路站--广州船坞总站)(18站) / 南沙1路(广州船坞总站--金岭南路站)(17站)
703路,703路(机场路总站--荔红路总站)(49站) / 703路(荔红路总站--机场路总站)(48站),→,703路(江高(广技师白云校区)总站--荔红路总站)(30站) / 703路(荔红路总站--江高(广技师白云校区)总站)(30站)
929路,929路(白云文化广场总站--石井大道北)(27站) / 929路(石井大道北--白云文化广场总站)(24站),→,929路(棠溪站1--石井大道北)(26站) / 929路(石井大道北--棠溪站1)(23站)
B6路,B6路(同和路总站--汇彩路总站)(36站) / B6路(汇彩路总站--同和路总站)(36站),→,B6路(体育中心(西行)--同和路总站)(21站) / B6路(同和路总站--体育中心)(21站)
320路,320路(大沙东总站--思蕴路总站)(37站) / 320路(思蕴路总站--大沙东总站)(37站),→,320路(奥林匹克体育中心总站--大沙东总站)(36站) / 320路(大沙东总站--奥林匹克体育中心总站)(35站)
550路,550路(东圃珠村总站--兴民路总站)(22站) / 550路(兴民路总站--东圃珠村总站)(25站),→,550路(琶洲保利总站--东圃珠村总站)(19站) / 550路(东圃珠村总站--琶洲保利总站)(20站)
480路,480路(北站总站--北站总站)(13站),→,480路(北站总站--北站总站)(13站)
