线路,方向记录,站名,记录平台ID,记录距几何(m),建议平台名,建议平台ID,建议距几何(m),建议平台类型
471路,471路(石湖镇东路总站--草庄村总站),太和文化广场,BV09005242,124,太和(谢家庄),BV09027377,1,普通
976路,976路(太和总站--竹三村总站),太和文化广场,BV09005242,119,太和(谢家庄),BV09027377,1,普通
南50路,南50路(励业染厂站--鱼窝头二中站),太石工业区站,BV09305166,116,太石公交总站,BV10018468,1,总站
番150路,番150路(儿童公园总站--鱼窝头车站),太石工业区站,BV09305166,116,太石市场站,BV10023176,1,普通
帽峰山旅游专线1线,帽峰山旅游专线1线(太和地铁站A口--帽峰山森林公园),太和文化广场,BV09005242,114,太和中路,BV11688546,1,普通
21路,21路(解放北路总站(应元路口)--均禾工业区总站(清湖村)),平沙,BV11688453,112,平沙南街,BV10021791,1,普通
广974路班车,广974路班车(城西花园站--东秀路总站),金沙洲路,BV11688450,111,金沙洲路1,BV09369963,1,普通
广夜91路,广夜91路(金沙洲码头总站--西华村总站),金沙洲路,BV11688450,111,金沙洲路1,BV09369963,1,普通
广231路,广231路(广州火车站总站--和顺车站总站),金沙洲路,BV11688450,110,金沙洲路1,BV09369963,1,普通
126路,126路(凰岗总站--天河客运站总站),元岗路,BV10016357,109,元岗村,BV10016358,1,普通
夜90路,夜90路(凰岗总站--天河客运站总站),元岗路,BV10016357,109,元岗村,BV10016358,1,普通
从408路,从408路(爱群村委--鳌头公交总站),龙潭路口,BV10877113,106,龙潭村委,BV11596290,1,普通
21路,21路(均禾工业区总站(清湖村)--解放北路总站(应元路口)),清湖村口,BV11690766,105,清湖村口2,BV09165291,1,普通
566路,566路(永和总站--黄埔新城(沙步一横路)总站),云埔工业区,BV11687962,292,云埔四路,BV10833214,2,普通
花18路,花18路(中建映花悦府--新和村),花都广场,BV10016943,254,花都海关,BV09404838,2,普通
花18路,花18路(新和村--中建映花悦府),花都广场,BV10016943,254,花都区政务中心,BV11573300,2,普通
339路,339路(地铁鱼珠站总站--萝岗香雪总站),开泰大道(新阳路口),BV11466898,188,开泰大道中,BV11690287,2,普通
302路,302路(广州火车东站总站--市桥汽车站总站),林和西路,BV11688381,133,林和西路2,BV09383025,2,普通
363路,363路(广州火车东站总站--穗港码头总站),林和西路,BV11688381,133,林和西路2,BV09383025,2,普通
45路,45路(广州火车东站总站--小洲总站),林和西路,BV11688381,133,林和西路2,BV09383025,2,普通
夜74路,夜74路(广州火车东站总站--太和总站(沙亭岗村)),林和西路,BV11688381,133,林和西路2,BV09383025,2,普通
广283路,广283路(万科四季花城总站--广州火车东站总站),金沙洲路,BV11688450,133,金沙洲大桥西2,BV09010639,2,普通
广高峰快线30路,广高峰快线30路(万科四季花城总站--体育中心),金沙洲路,BV11688450,129,金沙洲路2,BV11329134,2,普通
广12路,广12路(万科四季花城总站--二沙岛西总站),金沙洲路,BV11688450,127,金沙洲路2,BV11329134,2,普通
667路,667路(地铁江夏站总站--地铁江夏站总站),空港大道,BV11621666,120,空港大道中,BV10021250,2,普通
番5路长线,番5路长线(太石工业区总站--大罗村(市广路)),太石工业区,BV09305166,113,太石工业区总站,BV10023383,2,总站
花85路,花85路(天湖峰境总站--广州北站总站),花都广场,BV10016943,109,花都广场(地铁A出口),BV11552460,2,普通
579路,579路(南岗万达广场总站--中海誉城总站),开创大道口,BV10884933,108,开创大道中(南方物流),BV09178249,2,普通
884路,884路(天健创意园总站--广州火车东站总站),元岗路,BV10016357,104,元岗横路(景晖苑),BV09017264,2,普通
