线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫,备注
南47路,2,大岗公交总站 ⇄ 新围八队总站 / 新围八队总站 ⇄ 大岗公交总站,07:00,18:00,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南48路,3,大岗公交总站 ⇄ 高铁庆盛站 / 庆盛枢纽公交总站 ⇄ 大岗公交总站 / 高铁庆盛总站 ⇄ 大岗公交总站,05:50,21:30,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南50路,2,励业染厂站 ⇄ 鱼窝头二中站 / 鱼窝头二中站 ⇄ 励业染厂站,07:50,19:10,创大公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南51路,2,万洲水闸站 ⇄ 马克村站 / 马克村总站 ⇄ 万洲水闸总站,07:15,18:00,创大公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南52路,2,东涌湖公交总站 ⇄ 鱼窝头二中站 / 鱼窝头二中站 ⇄ 东涌湖公交总站,06:30,18:00,广州创大客运公司南沙分公司;广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南53路,2,南沙儿童公园站 ⇄ 南沙湾总站 / 南沙湾总站 ⇄ 南沙儿童公园总站,,,广州南沙经济技术开发区蒲州客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南55路,2,新兴村委总站 ⇄ 高铁庆盛站1 / 高铁庆盛站 ⇄ 新兴村委总站,,,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南56路,2,聚豪新村站 ⇄ 蕉门公交总站 / 蕉门公交总站 ⇄ 聚豪新村站,06:00,21:00,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南57路,2,庆盛枢纽公交总站 ⇄ 马克村总站 / 马克村总站 ⇄ 庆盛枢纽公交总站,07:00,18:00,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南59路,2,潭洲车站 ⇄ 翡翠蓝湾社区站 / 翡翠蓝湾社区站 ⇄ 潭洲车站,07:00,18:15,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南60路,2,北斗渡口站1 ⇄ 榄核公交总站 / 榄核公交总站 ⇄ 北斗渡口站1,,,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南61路,2,万科海上明月站 ⇄ 黄山鲁西门总站 / 黄山鲁西门总站 ⇄ 万科海上明月总站,,,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南64路快线,2,直达)(广州南站总站 ⇄ 蕉门公交总站 / 直达)(蕉门公交总站 ⇄ 广州南站公交总站,07:15,20:45,广州公交集团二汽南沙客运分公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南68路快线,2,市桥汽车站 ⇄ 榄核公交总站 / 榄核公交总站 ⇄ 番禺市桥汽车站总站,07:30,20:00,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙19路,2,南沙中心医院西门站 ⇄ 南沙湾总站 / 南沙湾总站 ⇄ 南沙中心医院西门站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙23路A线,1,地铁横沥站 ⇄ 地铁横沥站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙2路支线,1,出口加工区站 ⇄ 出口加工区站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙31路A线,1,蕉门公交总站 ⇄ 蕉门公交总站,,,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙31路B线,1,蕉门公交总站 ⇄ 蕉门公交总站,,,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙40路短线,2,大岗公交总站 ⇄ 新沙村站(东) / 新沙村站(东) ⇄ 大岗公交总站,,,润信公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙63路A线,1,南沙儿童公园总站 ⇄ 南沙儿童公园总站,06:20,21:20,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙63路B线,1,南沙儿童公园总站 ⇄ 南沙儿童公园总站,06:20,21:20,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙70路,2,市桥汽车站 ⇄ 蕉门公交总站 / 蕉门公交总站 ⇄ 市桥汽车站,06:30,20:30,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙9路缸瓦沙线,2,万顷沙总站 ⇄ 团结围总站 / 团结围总站 ⇄ 万顷沙总站,05:20,20:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙9路团结围线,2,万顷沙总站 ⇄ 团结围总站 / 团结围总站 ⇄ 万顷沙总站,05:30,20:30,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙K2路,2,芳村西塱总站 ⇄ 蕉门公交总站 / 蕉门公交总站 ⇄ 芳村西塱总站,,,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南沙W1路支线,2,区政务服务中心站(西) ⇄ 蕉门地铁总站 / 蕉门地铁总站 ⇄ 区政务服务中心站(西),07:00,20:00,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南夜1路,2,万科海上明月 ⇄ 黄阁地铁站 / 黄阁地铁站 ⇄ 万科海上明月,22:40,23:59,润信公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南夜4路,2,地铁广隆站 ⇄ 金洲地铁站 / 金洲地铁站 ⇄ 地铁广隆站,23:00,00:20,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南夜5路,2,地铁南沙客运港站 ⇄ 时代南湾站 / 时代南湾站 ⇄ 地铁南沙客运港站,23:00,00:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南夜6路,2,南沙奥园站 ⇄ 金岭南路口 / 金岭南路口 ⇄ 南沙奥园站,22:30,00:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
商务专线4路,2,平洲玉器街总站 ⇄ 德星路总站 / 德星路总站 ⇄ 平洲玉器街总站,07:00,20:00,广州第一巴士客运公司(广州电车客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
穗东街便民车01线,2,地铁夏园站总站 ⇄ 联东U谷总站 / 联东U谷总站 ⇄ 地铁夏园站总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
太和1线便民车专线,1,珊景步行街(和乐路) ⇄ 珊景步行街,06:50,21:15,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
同成社区公交接驳专线,2,地铁龙溪站 ⇄ 宝石东路 / 宝石东路 ⇄ 地铁龙溪站,06:20,23:10,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
同成社区接驳专线,2,地铁龙溪站 ⇄ 宝石东路 / 宝石东路 ⇄ 地铁龙溪站,06:00,22:50,佛山南海佛广客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
文冲1号线便民车,1,中国软件CBD站 ⇄ 中国软件CBD站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
新龙镇-03线,1,西电广研院总站 ⇄ 西电广研院总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
新龙镇02线上午,1,中泰规划一纵路总站 ⇄ 中泰规划一纵路总站,06:20,09:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
新龙镇02线下午,1,中泰规划一纵路总站 ⇄ 中泰规划一纵路总站,16:30,20:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
新塘万达1路,1,珠江创业中心 ⇄ 丰泰城市公馆,07:35,20:00,广州粤运客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜103路,2,地铁江泰路站总站 ⇄ 穗盐路总站 / 穗盐路总站 ⇄ 地铁江泰路站总站,22:30,00:00,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜112路,2,地铁沙贝站总站 ⇄ 沙凤一路西总站 / 沙凤一路西总站 ⇄ 地铁沙贝站总站,22:30,00:30,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜116路,2,花都北兴总站 ⇄ 钟落潭(白云星汇城)总站 / 钟落潭总站 ⇄ 花都北兴总站,21:30,22:30,广州花都恒通客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜122路,2,永泰新村总站 ⇄ 白沙(中海金沙湾)总站 / 白沙(中海金沙湾)总站 ⇄ 永泰新村总站,22:40,24:00,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜127路,1,五眼桥总站 ⇄ 五眼桥总站,22:30,24:00,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜129路,2,两龙总站 ⇄ 石马总站 / 石马总站 ⇄ 两龙总站,21:00,23:00,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜135路,1,江海街办事处总站 ⇄ 江海街办事处总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜50路,1,市国家档案馆(大学城)总站 ⇄ 市国家档案馆(大学城)总站,22:40,00:45,广州第三巴士(广州第三客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜59路,1,机务段总站 ⇄ 机务段总站,,,广州巴士集团有限公司第二分公司一车队,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜92路,2,人和墟总站 ⇄ 广州城电狮岭充电站总站 / 广州城电狮岭充电站总站 ⇄ 人和墟总站,,,广州花都恒通客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜93路,2,大观路北总站 ⇄ 宝岗大道总站 / 宝岗大道总站 ⇄ 大观路北总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
夜班136路,1,人和墟总站(万家福广场) ⇄ 人和墟总站(万家福广场),22:40,00:30,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
永和便民01线,2,新丰路口2 ⇄ 立景创新科技总站 / 立景创新科技总站 ⇄ 新丰路口2,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
永和便民02线,2,斗塘路东 ⇄ 新丰路口2 / 新丰路口1 ⇄ 斗塘路东,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
云山红色研学巴士1号线,1,聚龙地铁站D口 ⇄ 三元里地铁站A口,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城20路,2,新塘汽车客运总站 ⇄ 新沙地铁站 / 新沙地铁站 ⇄ 新塘汽车客运站总站,07:20,18:20,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城29路,2,新塘大道 ⇄ 沙埔广场 / 沙埔广场 ⇄ 新塘大道,,,广州荔通客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城32路内环,1,新塘汽车客运总站 ⇄ 新塘汽车客运总站,06:00,23:00,广州市增城区公共交通运输服务有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城32路外环,1,新塘汽车客运总站 ⇄ 新塘汽车客运总站,06:00,22:00,广州市增城区公共交通运输服务有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城42路,2,正果车站 ⇄ 派潭客运站 / 派潭客运站 ⇄ 正果车站,09:30,15:40,广州粤运客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城44路,2,新塘站公交总站 ⇄ 临时站 / 站前路站 ⇄ 新塘站公交总站,,,广州粤运客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城46路,2,东江逸珑湾 ⇄ 南山丰景花园 / 南山丰景花园 ⇄ 东江逸珑湾,07:10,19:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城65路,2,万达广场西 ⇄ 镇泰小学 / 镇泰小学 ⇄ 万达广场西,,,广州荔通客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城72A路,2,正果车站 ⇄ 白面石村 / 白面石村 ⇄ 正果车站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城75路,2,新塘站公交总站 ⇄ 环城路北段入口 / 环城路北段入口 ⇄ 新塘站公交总站,,,广州客运公司增城分公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城78路,2,华商学院 ⇄ 增城广场地铁总站 / 增城广场地铁总站 ⇄ 华商学院,08:00,20:00,广州市增城区公共交通运输服务有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城90路,2,仙村中学 ⇄ 沙角村委 / 沙角村委 ⇄ 仙村中学,07:10,19:20,广州市增城区公共交通运输服务有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增城9A路/9A路快线,2,新塘站公交总站 ⇄ 罗岗市场 / 罗岗市场 ⇄ 新塘站公交总站,,,广州粤运客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增夜2路,2,二汽石滩客运站 ⇄ 增城广场地铁总站 / 增城广场地铁总站 ⇄ 二汽石滩客运站,,,广州市增城区公共交通运输服务有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增夜4路,2,中新车站 ⇄ 新塘站公交总站 / 新塘站公交总站 ⇄ 中新车站,,,广州市增城区公共交通运输服务有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
增夜6路,2,南山丰景花园 ⇄ 官湖地铁站 / 官湖地铁站 ⇄ 南山丰景花园,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
长途番禺宝安,1,宝安汽车站(107国道) ⇄ 番禺客运站公交站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
长洲岛1号线,1,黄埔军校总站 ⇄ 黄埔军校总站,08:00,19:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
长洲岛2号线,2,思亭路总站 ⇄ 黄埔军校总站 / 黄埔军校总站 ⇄ 思亭路总站,08:00,18:00,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
B1短线快车,2,特快车)(体育中心 ⇄ 夏园站 / 特快车)(夏园站 ⇄ 体育中心,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
K201路,2,南海快线枢纽中心 ⇄ 广州南站总站 / 广州南站总站 ⇄ 南海快线枢纽中心,06:00,22:00,佛山南海佛广客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
K981路,2,蕉门公交总站 ⇄ 陵岗 / 陵岗 ⇄ 蕉门公交总站,08:00,21:00,中山市公共交通运输集团有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
S02路航线短线,2,中大码头 ⇄ 天字码头 / 天字码头 ⇄ 中大码头,07:00,17:00,广州公交集团客轮公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
S10航线,2,长洲码头 ⇄ 鱼珠码头 / 鱼珠码头 ⇄ 长洲码头,,,广州客轮公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
S11海心沙-中大航线,2,中大码头 ⇄ 海心沙码头 / 海心沙码头 ⇄ 中大码头,07:30,17:30,广州公交集团客轮有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
S6A黄沙-芳村航线,2,白鹅潭艺术中心码头 ⇄ 黄沙码头 / 黄沙码头 ⇄ 白鹅潭艺术中心码头,06:00,22:00,广州公交集团客轮有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
S9白蚬壳-白鹤洞航线,2,白蚬壳码头 ⇄ 白鹤洞码头 / 白鹤洞码头 ⇄ 白蚬壳码头,,,广州客轮公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
