线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫,备注
佛沥12高峰线,2,十里尚堤西苑 ⇄ 芳村大道西站 / 芳村大道西站 ⇄ 十里尚堤西苑,,,佛山恒通客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
佛沥18路,2,中海金沙里 ⇄ 沙海村 / 沙海村 ⇄ 中海金沙里,06:30,19:30,佛山南海佛广客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
高峰快线21路,2,天河客运站总站 ⇄ 广州火车站总站 / 广州火车站总站 ⇄ 天河客运站总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
高峰快线24路,2,广州火车东站总站 ⇄ 港湾一村 / 港湾一村 ⇄ 广州火车东站总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
高峰快线35路,2,上涌 ⇄ 天平架总站 / 天平架总站 ⇄ 上涌,,,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
高峰快线80路,1,中科院化学所总站 ⇄ 罗冲围总站(松南路),,,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
高速专线2路,2,地铁高增站总站 ⇄ 机场路总站 / 机场路总站 ⇄ 地铁高增站总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
公交地铁接驳专线4路,2,沙溪大道东总站 ⇄ 海龙湾总站 / 海龙湾总站 ⇄ 沙溪大道东总站,,,一巴番禺分公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
公交地铁接驳专线5路,2,海龙湾总站 ⇄ 富山路 / 番禺区第二人民医院总站 ⇄ 海龙湾总站,06:20,22:00,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
公交地铁接驳专线7路,1,地铁大石总站 ⇄ 地铁大石总站,,,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
公交地铁接驳专线8路,2,地铁大石站总站 ⇄ 坑头村总站 / 坑头村总站 ⇄ 地铁大石总站,,,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
公交地铁接驳专线9路,2,奥园城市天地总站 ⇄ 广州雅居乐北苑公交首末站 / 广州雅居乐北苑公交首末站 ⇄ 奥园城市天地总站,,,广州第二巴士客运公司(广州番广客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
