101路	新增 101路(海印桥总站--机场路总站)(14站) / 101路(机场路总站--海印桥总站)(14站)
102路	新增 102路(东山总站--崇文二路(荔勤北路口))(25站) / 102路(崇文二路(荔勤北路口)--东山总站)(26站)
104路	新增 104路(海印桥总站--中山八路总站)(16站) / 104路(中山八路总站--海印桥总站)(16站)
105路	新增 105路(黄沙总站--棠安路站)(23站) / 105路(棠安路站--黄沙总站)(21站)
106路	新增 106路(锦城花园(东风东)总站--茶滘路总站)(22站) / 106路(茶滘路总站--锦城花园(东风东)总站)(23站)
107路	新增 107路(华成路口--中山八路总站)(21站) / 107路(中山八路总站--华成路口)(19站)
108路	新增 108路(东山总站--南悦花苑总站)(24站) / 108路(南悦花苑总站--东山总站)(22站)
109路	新增 109路(中山八路总站--中山八路总站)(33站)
114路	新增 114路(南田路--罗冲围总站(松南路))(14站) / 114路(罗冲围(松南)总站--南田路)(13站)
