physicalStId,涉及合并站,BV站点ID,车来了站名,BV站数,说明
ffd81814ff374294a2672c40633722ca,白沙 / 白沙总 / 白沙总站(中海金沙湾),BV11457906 / BV11585800 / BV10572835,白沙（中海金沙湾）,3,总站与非总站混合，不自动合并
08d7a2cca47047889ac4f73b7778af1a,白沙 / 白沙总站(中海金沙湾) / 白沙(中海金沙湾)总,BV11457906 / BV10572835 / BV11341395,白沙（中海金沙湾）,3,总站与非总站混合，不自动合并
c8a2cf9db6ca400b91b5e7eddd91f768,南泰路西 / 珠江医院总,BV10021619 / BV10021721,南泰路西 / 珠江医院总站1,2,总站与非总站混合，不自动合并
af15636f88034aeba95584d93ba06406,珠江广场 / 滨江东路总,BV09241994 / BV10016328,珠江广场② / 滨江东路总站,2,总站与非总站混合，不自动合并
e3fe573c071643fabcde4a4db3b707fc,珠江广场 / 滨江东路总,BV09241994 / BV10016328,珠江广场 / 滨江东路总站,2,总站与非总站混合，不自动合并
cee0ef788bd5483a8a2f25b8efdba88a,金宇花园 / 金宇花园总,BV11688515 / BV10013810,金宇花园 / 金宇花园总站,2,总站与非总站混合，不自动合并
592d08bf0d964cdebbe98306156f2020,云苑新村总 / 云苑新村,BV10018323 / BV10018325,云苑新村总站 / 云苑新村,2,总站与非总站混合，不自动合并
d6f2aacf7aa04bd58d9800e5df5dfdf2,白云山制药厂(后山宿舍) / 白云山制药厂总,BV10016352 / BV10014380,白云山制药厂,2,总站与非总站混合，不自动合并
c761159bb47348d2ba849b49c976c745,珠岛花园 / 珠岛花园总,BV10803702 / BV10016165,珠岛花园,2,总站与非总站混合，不自动合并
674763cdb09041e1991320eed2d0eb28,晓港湾 / 晓港湾总,BV11688514 / BV10018550,晓港湾,2,总站与非总站混合，不自动合并
9a732c2f62304c0997b04e6cca0ebf93,锦城花园(东风东)总 / 锦城花园,BV11620748 / BV10014572,锦城花园（东风东）总站,2,总站与非总站混合，不自动合并
0eeb15891ca0412eba01bb05f8c91b76,晓港湾 / 晓港湾总,BV11688514 / BV10018550,晓港湾,2,总站与非总站混合，不自动合并
a1ceba7c33834537aed9db6c9bb66e6e,大江苑 / 大江苑总,BV10021299 / BV10323128,大江苑 / 大江苑总站,2,总站与非总站混合，不自动合并
9f1d1ef5703e4325b18664549f409cb0,中山八路总 / 中山八路,BV10014194 / BV11688465,中山八路总站,2,总站与非总站混合，不自动合并
28878a1d9e754a88b1bdb520fcbc8993,员村#1 / 员村总#2,BV09242192 / BV10389050,员村① / 员村,2,总站与非总站混合，不自动合并
07b65d73cdd7428bab3a05300feacf8a,琶洲大桥北 / 琶洲大桥北总,BV11688358 / BV10580172,琶洲大桥北,2,总站与非总站混合，不自动合并
dcfa50818554423d967ba151e9bc0cba,万胜围 / 万胜围总,BV10420826 / BV11011363,万胜围,2,总站与非总站混合，不自动合并
731cd7340fe14622a09df043c7eda447,琶洲大桥北 / 琶洲大桥北总,BV11688358 / BV10580172,琶洲大桥北,2,总站与非总站混合，不自动合并
c76337f0e1344b08820dcdfcddb0e875,汾水小区总 / 汾水小区,BV10018714 / BV09405895,汾水小区总站 / 汾水小区,2,总站与非总站混合，不自动合并
6ae8022af38f44db93c40153e1286746,同德围总#1 / 同德围,BV10387326 / BV09355217,同德围,2,总站与非总站混合，不自动合并
ecdb53545bed40c8b5f3c41d5cbc2d47,岗贝路 / 岗贝路总,BV10019052 / BV10018301,岗贝路 / 岗贝路总站,2,总站与非总站混合，不自动合并
5bed88cac25e43d19080d508ba233ab6,地铁白云公园 / 地铁白云公园站总,BV10022459 / BV11568890,地铁白云公园站 / 地铁白云公园站总站,2,总站与非总站混合，不自动合并
1ceec2e777f44c8c8eb6766742e81726,同德围 / 同德围总#1,BV09355217 / BV10387326,同德围,2,总站与非总站混合，不自动合并
840a3c59bbf34c24b91a975b87683303,南洲路总站(小洲南路口) / 南洲路,BV09243517 / BV10791667,南洲路（盛景家园）,2,总站与非总站混合，不自动合并
6a9a46e807524307969cad8f6546ec86,解放北路总站(应元路口) / 解放北路(应元路口),BV10387132 / BV11663428,解放北路（应元路口）总站 / 解放北路（应元路口）,2,总站与非总站混合，不自动合并
1e655080df20482aa70bddb549686bec,横枝岗#1 / 横枝岗总,BV09091397 / BV10389127,横枝岗,2,总站与非总站混合，不自动合并
