置信度,分类,站名,记录平台ID,远侧方向数,散布(m),距平台(m),汇聚点经度,汇聚点纬度,邻近平台名,邻近平台ID,邻近距离(m),涉及线路
中,换台(中),黄石东路(云城西路口)站,BV11688425,2,0,110,113.274181,23.206469,云城西路(白云区图书馆),BV10021165,90,660路环线、广424路
中,换台(低),中山八路总站,BV10014194,2,0,113,113.226194,23.128227,中山八路总站,BV10014194,113,夜37路、广夜58路
中,换台(低),江海大道中,BV11687940,2,0,286,113.327224,23.094406,江海大道中2,BV09316963,104,夜29路、夜37路
中,补台,犀牛角村总站,BV10382244,2,0,157,113.333968,23.195632,犀牛角村总站,BV10382244,157,754路
中,换台(中),汇景北路总站,BV10017906,2,0,104,113.361724,23.153625,汇景北路总站2,BV09395455,69,498路、夜23路
中,补台,员村总站,BV10389050,2,0,664,113.364760,23.117487,员村四横路站,BV11519170,374,243路、B11路
中,换台(低),站南路总站,BV09012353,2,0,137,113.249392,23.148254,站南路,BV10014073,113,29路、广260路
中,换台(低),家和天曜总站,BV11448213,2,0,125,113.427565,23.143779,家和天曜总站,BV11448213,125,508路、573路
中,换台(低),黄埔新港站,BV09230886,2,0,123,113.519655,23.056999,黄埔新港站,BV09230886,123,莞618路、莞86路
中,补台,护林路东总站,BV10018089,2,0,244,113.475736,23.111763,护林路东总站,BV10018089,244,432A路、B26路
中,换台(高),郭塘站,BV09245330,2,0,153,113.200942,23.336197,郭塘加油站,BV10018982,50,825路
中,补台,平沙路口站,BV09000463,2,0,153,113.246893,23.249728,平沙路口站,BV09000463,153,703路、夜87路
中,补台,南医大五附院站,BV11623857,2,0,190,113.567621,23.549630,从化中学,BV10924064,162,从903路
中,换台(高),地铁东风站,BV11115115,2,0,145,113.595473,23.567786,地铁东风站D,BV09216179,0,从21路长线、从8路
中,补台,中山大学附属第一(南沙)医院,BV09077732,2,0,204,113.500258,22.751000,中山大学附属第一(南沙)医院,BV09077732,204,南沙13路、南沙20路
中,补台,北斗渡口站,BV09009791,2,0,881,113.336888,22.896645,金湾生活区,BV10023397,377,番6路、番7路
中,换台(高),黄阁镇政府站,BV10017143,2,0,904,113.507590,22.834128,黄阁中学站,BV10017141,57,南沙61路短线
中,换台(高),黄阁大道中站,BV09026668,2,0,431,113.507590,22.834128,黄阁中学站,BV10017141,57,南沙61路短线
中,补台,七境村,BV11119670,2,0,594,113.822525,23.529728,灵山墟,BV11119627,451,增城62路
中,补台,灵山墟,BV11119627,2,0,373,113.820188,23.530479,灵山墟,BV11119627,373,增城62路
中,补台,田美上庄,BV10970181,2,0,183,113.218644,23.403959,田美上庄,BV10970181,183,花103路、花都113路
中,换台(低),坦尾村站,BV11161928,2,2,129,113.512004,22.789850,坦尾村站,BV11161928,129,南34路、南55路
中,换台(低),民营科技园门口,BV10021372,2,3,118,113.329608,23.298411,民营科技园门口,BV10021372,118,735路、797路
中,换台(低),集贤苑教师新村,BV11482216,2,5,106,113.295130,23.238147,集贤苑教师新村,BV11482216,106,656路、76路
中,换台(低),大塘西总站(敦和),BV11472988,2,6,108,113.313882,23.089641,大塘西总站(敦和),BV11472988,108,786路
