线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫
352A路,2,洋田村总站 ⇄ 知识城南总站 / 知识城南总站 ⇄ 窖吓村,07:00,21:00,广州第三巴士客运公司,可核对（方向记录已匹配）,知识城南总站（地铁何棠下站） ⇄ 洋田村（文娱广场）总站 / 洋田村（文娱广场）总站 ⇄ 知识城南总站（地铁何棠下站）
353路,1,地铁官洲站总站 ⇄ 地铁官洲站总站,07:30,22:00,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,地铁官洲站 ⇄ 地铁官洲站
354路,2,地铁长平站总站 ⇄ 穗丰村(兴太三路)总站 / 穗丰村(兴太三路)总站 ⇄ 地铁长平站总站,,,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,地铁长平站总站 ⇄ 穗丰村（兴太三路）总站 / 穗丰村（兴太三路）总站 ⇄ 地铁长平站总站
355路,2,天河智慧城核心区总站(高唐) ⇄ 黄埔体育中心总站 / 黄埔体育中心总站 ⇄ 天河智慧城核心区总站(高唐),,,巴士集团,可核对（方向记录已匹配）,天河智慧城核心区（高唐）总站 ⇄ 黄埔体育中心总站 / 黄埔体育中心总站 ⇄ 天河智慧城核心区（高唐）总站
356路,2,汇彩路总站 ⇄ 黄埔体育中心总站 / 黄埔体育中心总站 ⇄ 汇彩路总站,,,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,黄埔体育中心总站 ⇄ 汇彩路总站③ / 汇彩路总站③ ⇄ 黄埔体育中心总站
358路,2,湖山国际公交总站 ⇄ 黄埔低空经济创新中心总站 / 黄埔低空经济创新中心总站 ⇄ 湖山国际公交总站,06:30,21:00,巴士集团,可核对（方向记录已匹配）,湖山国际总站 ⇄ 黄埔低空经济创新中心总站 / 黄埔低空经济创新中心总站 ⇄ 湖山国际总站
35路,2,大学城科学中心总站 ⇄ 文德路总站 / 文德路总站 ⇄ 大学城科学中心总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,大学城科学中心总站 ⇄ 文德路总站 / 文德路总站 ⇄ 大学城科学中心总站
360路,2,地铁鱼珠站总站 ⇄ 笔岗新村总站 / 笔岗新村总站 ⇄ 地铁鱼珠站总站,,,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,笔岗新村总站 ⇄ 地铁鱼珠站总站 / 地铁鱼珠站总站 ⇄ 笔岗新村总站
361路,2,土华总站 ⇄ 黄船文化中心总站 / 黄船文化中心总站 ⇄ 土华总站,,,巴士集团,可核对（方向记录已匹配）,土华总站 ⇄ 黄船文化中心总站 / 黄船文化中心总站 ⇄ 土华总站
362路,2,九龙镇政府总站 ⇄ 佛塱山贝 / 佛塱山贝 ⇄ 九龙镇政府总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,山龙大街总站 ⇄ 山龙大街总站
364路,2,瑞东花园总站 ⇄ 科学城彩频路总站 / 科学城彩频路总站 ⇄ 瑞东花园总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,瑞东花园总站 ⇄ 科学城彩频路总站 / 科学城彩频路总站 ⇄ 瑞东花园总站
365路,2,知识城南总站 ⇄ 黄埔低空经济创新中心总站 / 黄埔低空经济创新中心总站 ⇄ 知识城南总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,黄埔低空经济创新中心总站 ⇄ 知识城南总站（地铁何棠下站） / 知识城南总站（地铁何棠下站） ⇄ 黄埔低空经济创新中心总站
365A路,2,地铁镇龙站总站 ⇄ 开萝大道总站 / 开萝大道总站 ⇄ 地铁镇龙站总站,,,第三巴士,可核对（方向记录已匹配）,黄埔低空经济创新中心总站 ⇄ 地铁镇龙站总站 / 地铁镇龙站总站 ⇄ 黄埔低空经济创新中心总站
366路,2,水西路 ⇄ 荔湖城总站 / 荔湖城总站 ⇄ 水西路总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,燕山（星樾山畔）总站 ⇄ 荔湖城总站 / 荔湖城总站 ⇄ 燕山（星樾山畔）总站
367路,2,中海誉城总站 ⇄ 火村东总站 / 火村东总站 ⇄ 中海誉城总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,火村东总站 ⇄ 中海誉城总站 / 中海誉城总站 ⇄ 火村东总站
36路,2,珠江泳场总站 ⇄ 黄石路总站 / 黄石路总站 ⇄ 珠江泳场总站,,,广州市一汽巴士有限公司,可核对（方向记录已匹配）,珠江泳场（海印公园）总站 ⇄ 黄石路总站 / 黄石路总站 ⇄ 珠江泳场（海印公园）总站
370路,2,知新路总站 ⇄ 科教城西总站 / 科教城西总站 ⇄ 知新路总站(万科幸福荟),06:30,22:00,巴士集团,可核对（方向记录已匹配）,知新路（万科幸福荟）总站 ⇄ 科教城西公交总站 / 科教城西公交总站 ⇄ 知新路（万科幸福荟）总站
371路,2,创盈路西总站 ⇄ 科学城彩频路总站 / 科学城彩频路总站 ⇄ 创盈路西总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,科学城彩频路总站 ⇄ 创盈路西总站 / 创盈路西总站 ⇄ 科学城彩频路总站
372路,2,南湾总站 ⇄ 新塘盛世名门总站 / 新塘盛世名门总站 ⇄ 南湾水乡总站,06:30,21:00,广州溢通巴士客运公司,可核对（方向记录已匹配）,新塘盛世名门总站 ⇄ 南湾总站 / 南湾总站 ⇄ 新塘盛世名门总站
373路,2,创盈路中 ⇄ 萝岗总站 / 萝岗总站 ⇄ 誉山国际北门总站,,,巴士集团,可核对（方向记录已匹配）,萝岗总站 ⇄ 创盈路中总站 / 创盈路中总站 ⇄ 萝岗总站
375路,2,凤凰城总站 ⇄ 黄埔低空经济创新中心总站 / 黄埔低空经济创新中心总站 ⇄ 凤凰城总站,07:00,21:00,巴士集团,可核对（方向记录已匹配）,凤凰城（凤馨苑）总站 ⇄ 黄埔低空经济创新中心总站 / 黄埔低空经济创新中心总站 ⇄ 凤凰城（凤馨苑）总站
376路,2,南岗总站 ⇄ 富力悦禧花园总站 / 富力悦禧花园总站 ⇄ 南岗总站,,,广州第三巴士客运公司,可核对（方向记录已匹配）,南岗（国际玩具礼品城）总站 ⇄ 富力悦禧花园总站 / 富力悦禧花园总站 ⇄ 南岗（国际玩具礼品城）总站
377路,1,瑞东花园总站 ⇄ 瑞东花园总站,,,巴士集团,可核对（方向记录已匹配）,瑞东花园总站 ⇄ 瑞东花园总站
379路,2,新塘总站 ⇄ 永和大道(常春藤)总站 / 永和总站 ⇄ 新塘总站,,,广州溢通巴士客运公司,可核对（方向记录已匹配）,新塘（四望岗公园）总站 ⇄ 永和（常春藤）总站 / 永和（常春藤）总站 ⇄ 新塘（四望岗公园）总站
37路,2,东山口总站 ⇄ 赤沙总站 / 赤沙总站 ⇄ 东山口总站,06:15,22:30,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),可核对（方向记录已匹配）,赤沙（广东财经大学）总站 ⇄ 东山口总站 / 东山口总站 ⇄ 赤沙（广东财经大学）总站
383路,2,大学城星光下道总站 ⇄ 长洲码头总站 / 长洲码头总站 ⇄ 大学城星光下道总站,,,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,大学城星光下道总站 ⇄ 长洲码头总站 / 长洲码头总站 ⇄ 大学城星光下道总站
384路/384路旅游专线,1,大学城南亭村总站 ⇄ 南亭村总站,07:00,21:00,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,大学城南亭村总站 ⇄ 大学城南亭村总站
387路,1,大学城穗石村总站 ⇄ 大学城穗石村总站,07:00,22:00,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,大学城穗石村总站 ⇄ 大学城穗石村总站
388路,2,南岗总站 ⇄ 水西路 / 水西路 ⇄ 南岗总站,,,巴士集团,可核对（方向记录已匹配）,南岗（国际玩具礼品城）总站 ⇄ 燕山（星樾山畔）总站 / 燕山（星樾山畔）总站 ⇄ 南岗（国际玩具礼品城）总站
38路,2,文化公园总站 ⇄ 时代玫瑰园总站 / 时代玫瑰园总站 ⇄ 文化公园总站,06:15,22:30,广州市一汽巴士有限公司,可核对（方向记录已匹配）,时代玫瑰园总站 ⇄ 文化公园（粤海关博物馆）总站 / 文化公园（粤海关博物馆）总站 ⇄ 时代玫瑰园总站
391路,2,中海誉城总站 ⇄ 联和总站(惠联路) / 联和总站(惠联路) ⇄ 中海誉城总站,,,巴士集团,可核对（方向记录已匹配）,联和（惠联路）总站① ⇄ 中海誉城总站 / 中海誉城总站 ⇄ 联和（惠联路）总站①
392路,2,萝岗香雪总站 ⇄ 黄登村总站 / 黄登村总站 ⇄ 萝岗香雪总站,06:30,21:30,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,黄登村总站 ⇄ 萝岗香雪（梅花世界）总站 / 萝岗香雪（梅花世界）总站 ⇄ 黄登村总站
393路,1,黄埔低空经济创新中心总站 ⇄ 黄埔低空经济创新中心总站,06:30,22:00,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,黄埔低空经济创新中心总站 ⇄ 黄埔低空经济创新中心总站
394路,1,永和贤江公交总站 ⇄ 永和贤江公交总站,07:00,21:00,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,永和贤江公交总站 ⇄ 永和贤江公交总站
396路,2,永和贤江总站 ⇄ 科学城彩频路总站 / 科学城彩频路总站 ⇄ 永和贤江总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,永和贤江公交总站 ⇄ 科学城彩频路总站 / 科学城彩频路总站 ⇄ 永和贤江公交总站
397路,2,丹水坑风景区总站 ⇄ 萝岗香雪总站 / 萝岗香雪总站 ⇄ 丹水坑风景区总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,萝岗香雪（梅花世界）总站 ⇄ 丹水坑风景区总站 / 丹水坑风景区总站 ⇄ 萝岗香雪（梅花世界）总站
39路,2,天河公交场总站 ⇄ 龙洞总站 / 龙洞总站 ⇄ 天河公交场总站,,,第一巴士,可核对（方向记录已匹配）,天河公交场总站 ⇄ 龙洞（广东金融学院）总站 / 龙洞（广东金融学院）总站 ⇄ 天河公交场总站
3路,2,东山总站(龟岗) ⇄ 如意坊总站 / 如意坊总站 ⇄ 东山龟岗(中共三大会址)总站,06:00,23:00,第一巴士,可核对（方向记录已匹配）,东山龟岗（中共三大会址）总站 ⇄ 如意坊总站 / 如意坊总站 ⇄ 东山龟岗（中共三大会址）总站
400路,1,东莞庄总站 ⇄ 东莞庄总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,东莞庄总站 ⇄ 东莞庄总站
402路/402路快车,1,东圃总站 ⇄ 东圃总站,,,第一巴士,可核对（方向记录已匹配）,东圃（兰亭盛荟）总站 ⇄ 东圃（兰亭盛荟）总站
403路,2,奥林匹克体育中心总站 ⇄ 家和天曜总站 / 家和天曜总站 ⇄ 奥林匹克体育中心总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,家和天曜总站 ⇄ 奥林匹克体育中心总站 / 奥林匹克体育中心总站 ⇄ 家和天曜总站
404路,2,地铁东圃站总站 ⇄ 黄村北总站 / 黄村北总站 ⇄ 地铁东圃站总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,黄村总站 ⇄ 黄村总站
405路,1,乐天创意园总站 ⇄ 乐天创意园总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,乐天创意园总站 ⇄ 乐天创意园总站
408路,1,天坤三路总站 ⇄ 天坤三路总站,,,广州一汽巴士公司第二分公司,可核对（方向记录已匹配）,广医附属中医院总站 ⇄ 广医附属中医院总站
409路,1,鳌鱼岗总站 ⇄ 鳌鱼岗总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,鳌鱼岗（华新健康城）总站 ⇄ 鳌鱼岗（华新健康城）总站
40路,2,东山(署前路)总站 ⇄ 广医附属中医院总站 / 广医附属中医院总站 ⇄ 东山(署前路)总站,,,第一巴士,可核对（方向记录已匹配）,东山（署前路）总站 ⇄ 广医附属中医院总站 / 广医附属中医院总站 ⇄ 东山（署前路）总站
410路,2,地铁菊树站 ⇄ 鹤洞总站 / 鹤洞总站 ⇄ 地铁菊树站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,地铁菊树站 ⇄ 鹤洞总站 / 鹤洞总站 ⇄ 地铁菊树站
411路,2,芳信路总站 ⇄ 芳和花园总站 / 芳和花园总站 ⇄ 芳信路总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,芳信路（郭村小区）总站 ⇄ 芳和花园总站 / 芳和花园总站 ⇄ 芳信路（郭村小区）总站
413路,1,中山八路总站 ⇄ 中山八路总站,,,第一巴士,可核对（方向记录已匹配）,中山八路总站 ⇄ 中山八路总站
414路,2,芳村合兴苑总站 ⇄ 芳村葵蓬总站 / 芳村葵蓬总站 ⇄ 芳村合兴苑总站,,,第一巴士,可核对（方向记录已匹配）,芳村葵蓬总站 ⇄ 芳村合兴苑总站 / 芳村合兴苑总站 ⇄ 芳村葵蓬总站
416路,1,坦尾总站 ⇄ 坦尾总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,坦尾总站 ⇄ 坦尾总站
417路,1,鹤洞总站 ⇄ 鹤洞总站,,,巴士集团,可核对（方向记录已匹配）,鹤洞总站 ⇄ 鹤洞总站
41路,2,广州火车东站总站 ⇄ 汇景北路总站 / 汇景北路总站 ⇄ 广州火车东站总站,06:10,22:00,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,广州火车东站总站 ⇄ 汇景北路总站 / 汇景北路总站 ⇄ 广州火车东站总站
421路,1,广州白云站公交总站 ⇄ 广州白云站公交总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,广州白云站公交总站 ⇄ 广州白云站公交总站
425路,2,百顺北路总站 ⇄ 石井总站 / 石井总站 ⇄ 百顺北路总站,06:30,22:30,广州第二巴士客运公司,可核对（方向记录已匹配）,百顺北路（岭南新世界）总站 ⇄ 石井（铁路学校）总站 / 石井（铁路学校）总站 ⇄ 百顺北路（岭南新世界）总站
427路,2,园夏村总站 ⇄ 龙归城总站 / 龙归城总站 ⇄ 园夏村总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,园夏村总站 ⇄ 龙归城（地铁夏良站）总站 / 龙归城（地铁夏良站）总站 ⇄ 园夏村总站
428路,1,潭村总站 ⇄ 潭村总站,06:30,22:00,巴士集团,可核对（方向记录已匹配）,潭村总站 ⇄ 潭村总站
430路,2,深井码头总站 ⇄ 黄埔军校总站 / 黄埔军校总站 ⇄ 深井码头总站,,,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,黄埔军校总站 ⇄ 深井码头总站 / 深井码头总站 ⇄ 黄埔军校总站
431路,2,护林路东总站 ⇄ 鱼珠码头总站 / 鱼珠码头总站 ⇄ 护林路东总站,,,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,鱼珠码头总站 ⇄ 护林路东总站 / 护林路东总站 ⇄ 鱼珠码头总站
432路,2,珠江花城总站 ⇄ 瑞东花园总站 / 瑞东花园总站 ⇄ 珠江花城总站,,,,可核对（方向记录已匹配）,瑞东花园总站 ⇄ 珠江花城总站 / 珠江花城总站 ⇄ 瑞东花园总站
432A路,2,天坤三路总站 ⇄ 护林路东总站 / 护林路东总站 ⇄ 天坤三路总站,,,巴士集团,可核对（方向记录已匹配）,天坤三路总站 ⇄ 护林路东总站 / 护林路东总站 ⇄ 天坤三路总站
434路,1,华坑生态村总站 ⇄ 华坑生态村总站,,,巴士集团,可核对（方向记录已匹配）,华坑生态村总站 ⇄ 华坑生态村总站
436路,1,南岗总站 ⇄ 南岗总站,,,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,南岗总站 ⇄ 南岗总站
438路,1,碧山村总站 ⇄ 碧山村总站,,,巴士集团,可核对（方向记录已匹配）,碧山村总站 ⇄ 碧山村总站
439路,2,中海誉城总站 ⇄ 南岗总站 / 南岗总站 ⇄ 中海誉城总站,06:40,22:00,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,南岗总站 ⇄ 中海誉城总站 / 中海誉城总站 ⇄ 南岗总站
440路,2,博汇商业区总站 ⇄ 金碧路总站 / 金碧路总站 ⇄ 博汇商业区总站,06:30,21:00,巴士集团,可核对（方向记录已匹配）,博汇商业区总站 ⇄ 金碧路总站 / 金碧路总站 ⇄ 博汇商业区总站
441路,2,临时站 ⇄ 镇龙新总站 / 镇龙新总站 ⇄ 洋田白石岗总站,07:20,21:20,广州第一巴士客运公司(广州电车客运公司),可核对（方向记录已匹配）,镇龙新总站 ⇄ 洋田白石岗总站 / 洋田白石岗总站 ⇄ 镇龙新总站
442路,1,镇龙新总站 ⇄ 镇龙新总站,06:45,20:45,广州第一巴士客运公司(广州电车客运公司),可核对（方向记录已匹配）,镇龙新总站 ⇄ 镇龙新总站
443路,2,旧福山村委总站 ⇄ 镇龙新总站 / 镇龙新总站 ⇄ 旧福山村委总站,,,广州第一巴士客运公司(广州电车客运公司),可核对（方向记录已匹配）,镇龙新总站 ⇄ 旧福山村委总站 / 旧福山村委总站 ⇄ 镇龙新总站
444路,2,镇龙新总站 ⇄ 龙江村总站 / 龙江村总站 ⇄ 镇龙新总站,06:45,20:30,广州第一巴士客运公司(广州电车客运公司),可核对（方向记录已匹配）,镇龙新总站 ⇄ 镇龙新总站
446路,2,永和总站 ⇄ 长平村总站 / 长平村总站 ⇄ 永和总站,07:00,21:00,巴士集团,可核对（方向记录已匹配）,长平村总站 ⇄ 永和（崇和花园）总站 / 永和（崇和花园）总站 ⇄ 长平村总站
449路,2,八斗村总站 ⇄ 黄陂社区总站 / 黄陂社区总站 ⇄ 八斗村总站,07:00,21:00,广州第一巴士客运公司(广州电车客运公司),可核对（方向记录已匹配）,黄陂社区总站 ⇄ 八斗村（天鹿湖社区服务站）总站 / 八斗村（天鹿湖社区服务站）总站 ⇄ 黄陂社区总站
44路,2,珠江医院总站 ⇄ 车陂总站 / 车陂总站 ⇄ 珠江医院总站,06:15,22:00,第一巴士,可核对（方向记录已匹配）,珠江医院总站1 ⇄ 车陂总站 / 车陂总站 ⇄ 珠江医院总站1
450路,2,南岗总站 ⇄ 小塱总站 / 小塱总站 ⇄ 南岗总站,,,巴士集团,可核对（方向记录已匹配）,南岗总站 ⇄ 小塱总站 / 小塱总站 ⇄ 南岗总站
452路,1,龙溪大道总站 ⇄ 龙溪大道总站,06:30,21:00,巴士集团,可核对（方向记录已匹配）,龙溪大道（广中医三院）总站 ⇄ 龙溪大道（广中医三院）总站
455路,2,创盈路中总站 ⇄ 永和贤江公交总站 / 永和贤江公交总站 ⇄ 创盈路中,06:40,20:30,,可核对（方向记录已匹配）,永和贤江公交总站 ⇄ 创盈路中总站 / 创盈路中总站 ⇄ 永和贤江公交总站
456路,1,九龙镇政府总站 ⇄ 九龙镇政府总站,07:00,21:00,,可核对（方向记录已匹配）,九佛政和路口总站 ⇄ 九佛政和路口总站
457路,2,九龙镇政府总站 ⇄ 蟹庄村总站 / 蟹庄村总站 ⇄ 九龙镇政府总站,,,巴士集团,可核对（方向记录已匹配）,蟹庄村总站 ⇄ 九佛政和路口总站 / 九佛政和路口总站 ⇄ 蟹庄村总站
458路,2,迳头九社总站 ⇄ 镇龙新总站 / 镇龙新总站 ⇄ 迳头九社总站,07:20,21:20,第三巴士,可核对（方向记录已匹配）,镇龙新总站 ⇄ 迳头九社总站 / 迳头九社总站 ⇄ 镇龙新总站
45路,2,小洲总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 小洲总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,小洲总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 小洲总站
460路,1,大元帅府总站 ⇄ 大元帅府总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,大元帅府总站 ⇄ 大元帅府总站
460A路,1,大元帅府总站 ⇄ 大元帅府总站,07:00,21:30,广州第一巴士客运公司,可核对（方向记录已匹配）,大元帅府总站 ⇄ 大元帅府总站
461路,2,北山公园 ⇄ 琶洲 / 琶洲 ⇄ 北山总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,北山总站 ⇄ 会展大道西 / 海港花园 ⇄ 北山总站 / 琶洲 ⇄ 仑头东（南海航海保障基地）总站 / 仑头东（南海航海保障基地）总站 ⇄ 琶洲
461路班车,3,仑头 ⇄ 琶洲 / 仑头总站 ⇄ 琶洲 / 琶洲 ⇄ 仑头,,,,可核对（方向记录已匹配）,北山总站 ⇄ 会展大道西 / 海港花园 ⇄ 北山总站 / 琶洲 ⇄ 仑头东（南海航海保障基地）总站 / 仑头东（南海航海保障基地）总站 ⇄ 琶洲
464路,2,大塘西总站(敦和) ⇄ 赤岗大塘总站 / 赤岗大塘总站 ⇄ 大塘西总站(敦和),,,第一巴士,可核对（方向记录已匹配）,大塘总站 ⇄ 大塘西（敦和）总站 / 大塘西（敦和）总站 ⇄ 大塘总站
465路,2,奥林匹克体育中心总站 ⇄ 珠江花城总站 / 珠江花城总站 ⇄ 奥林匹克体育中心总站,06:30,22:00,第一巴士,可核对（方向记录已匹配）,珠江花城总站 ⇄ 奥林匹克体育中心总站 / 奥林匹克体育中心总站 ⇄ 珠江花城总站
466路,2,后滘西大街 ⇄ 地铁东晓南站总站 / 地铁东晓南站总站 ⇄ 后滘西大街,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,地铁东晓南站总站 ⇄ 后滘西大街 / 后滘西大街 ⇄ 地铁东晓南站总站
467路,2,南丰汇总站 ⇄ 赤沙总站 / 赤沙总站 ⇄ 南丰汇总站,,,第一巴士,可核对（方向记录已匹配）,赤沙（广东财经大学）总站 ⇄ 南丰汇（地铁新港东站）总站 / 南丰汇（地铁新港东站）总站 ⇄ 赤沙（广东财经大学）总站
468路,2,土华总站 ⇄ 海琴湾总站(下渡路) / 海琴湾总站(下渡路) ⇄ 土华总站,,,巴士集团,可核对（方向记录已匹配）,海琴湾（下渡路）总站 ⇄ 土华总站 / 土华总站 ⇄ 海琴湾（下渡路）总站
469路,2,地铁江泰路站总站 ⇄ 纸厂总站 / 纸厂总站 ⇄ 地铁江泰路站总站,,,巴士集团,可核对（方向记录已匹配）,地铁江泰路站总站 ⇄ 地铁江泰路站总站
46路,2,中科院化学所总站 ⇄ 罗冲围总站(松南路) / 罗冲围总站(松南路) ⇄ 中科院化学所总站,,,第一巴士,可核对（方向记录已匹配）,罗冲围（松南路）总站 ⇄ 中科院化学所总站 / 中科院化学所总站 ⇄ 罗冲围（松南路）总站
472路,2,大岭村总站 ⇄ 江高(大松岗)总站 / 江高(大松岗)总站 ⇄ 大岭村总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,江高（大松岗）总站 ⇄ 大岭村总站 / 大岭村总站 ⇄ 江高（大松岗）总站
473路,2,乌溪村总站 ⇄ 寮采总站 / 寮采总站 ⇄ 乌溪村总站,06:30,22:00,广州市第二巴士有限公司,可核对（方向记录已匹配）,乌溪村总站 ⇄ 寮采（世外桃源）总站 / 寮采（世外桃源）总站 ⇄ 乌溪村总站
475路,1,单环线)(岗贝路总站 ⇄ 岗贝路总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,岗贝路总站 ⇄ 岗贝路总站
476路,2,凰岗总站 ⇄ 滘心村总站 / 滘心村总站 ⇄ 凰岗总站,06:30,22:00,广州第二巴士客运公司,可核对（方向记录已匹配）,滘心村总站 ⇄ 凰岗总站 / 凰岗总站 ⇄ 滘心村总站
477路,1,西洲北路尾总站 ⇄ 西洲北路尾总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,西洲北路尾总站 ⇄ 西洲北路尾总站
479路,1,景泰直街总站 ⇄ 景泰直街总站,,,第二巴士,可核对（方向记录已匹配）,景泰直街总站 ⇄ 景泰直街总站
480路,1,北站总站 ⇄ 北站总站,06:30,21:40,广州第二巴士客运公司,可核对（方向记录已匹配）,北站（三元里大道）总站 ⇄ 北站（三元里大道）总站
482路,1,动物园总站(先烈中路) ⇄ 动物园总站(先烈中路),,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,动物园（先烈中路）总站 ⇄ 动物园（先烈中路）总站
483路,1,淘金北路总站 ⇄ 淘金北路总站,06:30,22:00,第一巴士,可核对（方向记录已匹配）,淘金北路总站 ⇄ 淘金北路总站
486路,1,机务段总站 ⇄ 机务段总站,,,广州巴士集团有限公司第二分公司一车队,可核对（方向记录已匹配）,机务段总站 ⇄ 机务段总站
487路,2,凤凰岗总站 ⇄ 白鹤沙总站 / 白鹤沙总站 ⇄ 凤凰岗总站,,,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),可核对（方向记录已匹配）,白鹤沙总站 ⇄ 凤凰岗总站 / 凤凰岗总站 ⇄ 白鹤沙总站
488路,1,逸景西路总站 ⇄ 逸景西路总站,,,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),可核对（方向记录已匹配）,逸景西路（珠江国际纺织城）总站 ⇄ 逸景西路（珠江国际纺织城）总站
489路,2,太古仓路总站 ⇄ 江南西路总站 / 江南西路总站 ⇄ 太古仓路总站,,,第一巴士,可核对（方向记录已匹配）,太古仓路总站 ⇄ 江南西路总站 / 江南西路总站 ⇄ 太古仓路总站
490路,1,奥林匹克体育中心总站 ⇄ 奥林匹克体育中心总站,06:30,22:00,一汽巴士,可核对（方向记录已匹配）,奥林匹克体育中心总站 ⇄ 奥林匹克体育中心总站
491路,2,凌塘村总站 ⇄ 渔沙坦总站(渔中路) / 渔沙坦总站(渔中路) ⇄ 凌塘村总站,06:30,21:30,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,渔沙坦（渔中路）总站 ⇄ 凌塘村总站 / 凌塘村总站 ⇄ 渔沙坦（渔中路）总站
492路,1,渔沙坦(中山村)总站 ⇄ 渔沙坦(中山村)总站,,,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,渔沙坦（中山村）总站 ⇄ 渔沙坦（中山村）总站
494路,2,广汕一路总站(林机街) ⇄ 萝岗万达广场总站 / 萝岗万达广场总站 ⇄ 广汕一路总站(林机街),,,巴士集团,可核对（方向记录已匹配）,萝岗万达广场总站 ⇄ 广汕一路（林机街）总站 / 广汕一路（林机街）总站 ⇄ 萝岗万达广场总站
495路,2,玉树新村总站 ⇄ 琶洲塔公交总站 / 琶洲塔公交总站 ⇄ 玉树新村总站,,,第一巴士,可核对（方向记录已匹配）,玉树新村总站 ⇄ 琶洲塔公交总站 / 琶洲塔公交总站 ⇄ 玉树新村总站
496路,2,科学城(揽月路)总站 ⇄ 科韵路总站 / 科韵路总站 ⇄ 科学城(揽月路)总站,,,广州第三巴士(广州第三客运公司),可核对（方向记录已匹配）,科学城（揽月路）总站 ⇄ 科韵路总站 / 科韵路总站 ⇄ 科学城（揽月路）总站
497路,2,东圃总站 ⇄ 渔沙坦总站(渔东路) / 渔沙坦(渔东路)总站 ⇄ 东圃总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,渔沙坦（渔东路）总站 ⇄ 东圃总站 / 东圃总站 ⇄ 渔沙坦（渔东路）总站
497A路,1,龙洞总站 ⇄ 龙洞总站,06:30,21:30,第一巴士,可核对（方向记录已匹配）,龙洞（民族文化村）总站 ⇄ 龙洞（民族文化村）总站
498路,2,梅园路总站 ⇄ 汇景北路总站 / 汇景北路总站 ⇄ 梅园路总站,06:20,21:30,第一巴士,可核对（方向记录已匹配）,梅园路总站 ⇄ 汇景北路总站 / 汇景北路总站 ⇄ 梅园路总站
