线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫
136路,2,南湖总站 ⇄ 天河公交场总站 / 天河公交场总站 ⇄ 南湖总站,06:00,22:30,巴士集团,可核对（方向记录已匹配）,南湖（大河马水上世界）总站 ⇄ 天河公交场总站 / 天河公交场总站 ⇄ 南湖（大河马水上世界）总站
137路,2,广州火车东站总站 ⇄ 新洲码头总站 / 新洲码头总站 ⇄ 广州火车东站总站,,,巴士集团,可核对（方向记录已匹配）,新洲码头总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 新洲码头总站
138路,2,东莞庄总站 ⇄ 华成路总站 / 华成路总站 ⇄ 东莞庄总站,,,第一巴士,可核对（方向记录已匹配）,华成路（高德置地广场）总站 ⇄ 东莞庄总站 / 东莞庄总站 ⇄ 华成路（高德置地广场）总站
140路,2,元岗总站 ⇄ 员村总站 / 员村总站 ⇄ 元岗总站,06:00,22:00,巴士集团,可核对（方向记录已匹配）,员村总站② ⇄ 元岗（远洋天骄）总站 / 元岗（远洋天骄）总站 ⇄ 员村总站②
14路,2,广卫路总站 ⇄ 赤沙总站 / 赤沙总站 ⇄ 广卫路总站,,,第一巴士,可核对（方向记录已匹配）,赤沙（广东财经大学）总站 ⇄ 广卫路总站① / 广卫路总站① ⇄ 赤沙（广东财经大学）总站
15路,2,汾水小区总站 ⇄ 西华路尾总站 / 西华路尾总站 ⇄ 汾水小区总站,06:00,22:00,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),可核对（方向记录已匹配）,西华路尾总站 ⇄ 汾水小区总站 / 汾水小区总站 ⇄ 西华路尾总站
16路,2,凤凰岗总站 ⇄ 天平架总站 / 天平架总站 ⇄ 凤凰岗总站,,,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),可核对（方向记录已匹配）,天平架总站 ⇄ 凤凰岗总站 / 凤凰岗总站 ⇄ 天平架总站
175路,2,同德围总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 同德围总站,,,巴士集团,可核对（方向记录已匹配）,同德围（阳光花园）总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 同德围（阳光花园）总站
176路,2,广州火车站总站 ⇄ 潭村总站 / 潭村总站 ⇄ 广州火车站总站,,,巴士集团,可核对（方向记录已匹配）,潭村总站 ⇄ 广州火车站（草暖公园）总站 / 广州火车站（草暖公园）总站 ⇄ 潭村总站
179路,2,上步总站 ⇄ 白云山制药厂总站 / 白云山制药厂总站 ⇄ 上步总站,,,巴士集团,可核对（方向记录已匹配）,上步总站 ⇄ 白云山制药厂总站 / 白云山制药厂总站 ⇄ 上步总站
17路,2,凰岗总站 ⇄ 德星路总站 / 德星路总站 ⇄ 凰岗总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,德星路（上下九步行街）总站 ⇄ 凰岗（锦东服装城）总站 / 凰岗（锦东服装城）总站 ⇄ 德星路（上下九步行街）总站
180路,2,南洲路总站(小洲南路口) ⇄ 解放北路总站(应元路口) / 解放北路总站(应元路口) ⇄ 南洲路总站(小洲南路口),,,巴士集团,可核对（方向记录已匹配）,解放北路（应元路口）总站 ⇄ 南洲路（小洲南路口）总站 / 南洲路（小洲南路口）总站 ⇄ 解放北路（应元路口）总站
182路,2,云苑新村总站 ⇄ 逸景翠园总站 / 逸景翠园总站 ⇄ 云苑新村总站,06:15,22:30,巴士集团,可核对（方向记录已匹配）,云苑新村总站 ⇄ 逸景翠园总站 / 逸景翠园总站 ⇄ 云苑新村总站
183路,2,广州火车东站总站 ⇄ 汾水小区总站 / 汾水小区总站 ⇄ 广州火车东站总站,06:00,22:30,巴士集团,可核对（方向记录已匹配）,广州火车东站总站 ⇄ 汾水小区总站 / 汾水小区总站 ⇄ 广州火车东站总站
184路,2,大塘总站 ⇄ 横枝岗总站 / 横枝岗总站 ⇄ 大塘总站,,,巴士集团,可核对（方向记录已匹配）,大塘总站 ⇄ 横枝岗（广医肿瘤医院）总站 / 横枝岗（广医肿瘤医院）总站 ⇄ 大塘总站
185路,2,泽德花苑总站 ⇄ 锦城花园总站(东风东) / 锦城花园总站(东风东) ⇄ 泽德花苑总站,06:00,22:30,广州巴士集团有限公司第二分公司六车队,可核对（方向记录已匹配）,锦城花园（东风东）总站 ⇄ 泽德花苑（市中医院同德围分院）总站 / 泽德花苑（市中医院同德围分院）总站 ⇄ 锦城花园（东风东）总站
186路,2,广园新村总站 ⇄ 珠江医院总站 / 珠江医院总站 ⇄ 广园新村总站,06:00,23:00,巴士集团,可核对（方向记录已匹配）,广园新村总站 ⇄ 珠江医院总站 / 珠江医院总站 ⇄ 广园新村总站
188路,1,大基头总站 ⇄ 大基头总站,06:20,22:30,巴士集团,可核对（方向记录已匹配）,大基头（木偶艺术剧院）总站 ⇄ 大基头（木偶艺术剧院）总站
189路,2,机场路总站 ⇄ 石榴岗总站 / 石榴岗总站 ⇄ 机场路总站,,,巴士集团,可核对（方向记录已匹配）,机场路总站 ⇄ 石榴岗（海珠行政服务中心）总站 / 石榴岗（海珠行政服务中心）总站 ⇄ 机场路总站
190路,2,大塘总站 ⇄ 柯子岭总站3 / 柯子岭总站3 ⇄ 大塘总站,05:45,22:30,巴士集团,可核对（方向记录已匹配）,大塘总站 ⇄ 柯子岭（地铁大金钟路站）总站 / 柯子岭（地铁大金钟路站）总站 ⇄ 大塘总站
191路,2,华景新城总站 ⇄ 市红会医院北门总站 / 市红会医院北门总站 ⇄ 华景新城总站,06:15,22:20,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,华景新城总站 ⇄ 市红会医院北门总站 / 市红会医院北门总站 ⇄ 华景新城总站
192路,2,水荫路总站 ⇄ 珠江医院总站 / 珠江医院总站 ⇄ 水荫路总站,06:00,22:30,巴士集团,可核对（方向记录已匹配）,水荫路总站 ⇄ 珠江医院总站 / 珠江医院总站 ⇄ 水荫路总站
193路,2,广卫路总站 ⇄ 汾水小区总站 / 汾水小区总站 ⇄ 广卫路总站,06:00,22:30,巴士集团,可核对（方向记录已匹配）,广卫路总站 ⇄ 汾水小区总站 / 汾水小区总站 ⇄ 广卫路总站
194路,2,华景新城(翰景路)总站 ⇄ 宝岗大道总站 / 宝岗大道总站 ⇄ 华景新城总站(翰景路),,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,华景新城（翰景路）总站 ⇄ 宝岗大道总站 / 宝岗大道总站 ⇄ 华景新城（翰景路）总站
195路,2,南洲路总站(小洲南路口) ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 南洲路总站(小洲南路口),,,巴士集团,可核对（方向记录已匹配）,广州火车东站总站 ⇄ 南洲路（小洲南路口）总站 / 南洲路（小洲南路口）总站 ⇄ 广州火车东站总站
198路,3,机场路总站 ⇄ 潭村总站 / 潭村总站 ⇄ 招呼站 / 潭村总站 ⇄ 机场路总站,,,巴士集团,可核对（方向记录已匹配）,潭村总站 ⇄ 机场路总站 / 机场路总站 ⇄ 潭村总站
199路,2,水荫路总站 ⇄ 齐富路总站 / 齐富路总站 ⇄ 水荫路总站,,,巴士集团,可核对（方向记录已匹配）,齐富路总站 ⇄ 水荫路总站 / 水荫路总站 ⇄ 齐富路总站
19路,2,岭南V谷总站 ⇄ 桥中总站 / 桥中总站 ⇄ 岭南V谷总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,岭南V谷总站 ⇄ 桥中总站 / 桥中总站 ⇄ 岭南V谷总站
1路,2,东山总站(署前路) ⇄ 芳村花园南门总站 / 芳村花园南门总站 ⇄ 东山总站(署前路),06:00,22:30,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),可核对（方向记录已匹配）,芳村花园南门总站 ⇄ 东山（署前路）总站 / 东山（署前路）总站 ⇄ 芳村花园南门总站
204路,2,中山八路总站 ⇄ 珠江帝景苑总站 / 珠江帝景苑总站 ⇄ 中山八路总站,06:00,22:00,巴士集团,可核对（方向记录已匹配）,中山八路总站 ⇄ 珠江帝景苑总站 / 珠江帝景苑总站 ⇄ 中山八路总站
206路,2,新滘东路总站 ⇄ 滘口客运站总站 / 滘口客运站总站 ⇄ 新滘东路总站,06:00,22:30,巴士集团,可核对（方向记录已匹配）,石榴岗总站 ⇄ 滘口客运站总站 / 滘口客运站总站 ⇄ 石榴岗总站
207路,2,广州花卉博览园总站 ⇄ 恒宝广场总站 / 恒宝广场总站 ⇄ 广州花卉博览园总站,06:00,22:30,广州第一巴士客运公司(广州新穗巴士客运公司),可核对（方向记录已匹配）,广州花卉博览园（东西部扶贫协作交易市场）总站 ⇄ 恒宝广场总站 / 恒宝广场总站 ⇄ 广州花卉博览园（东西部扶贫协作交易市场）总站
208路,2,中山八路总站 ⇄ 大塘西总站(敦和) / 大塘西总站(敦和) ⇄ 中山八路总站,,,巴士集团,可核对（方向记录已匹配）,中山八路总站 ⇄ 大塘西（敦和）总站 / 大塘西（敦和）总站 ⇄ 中山八路总站
20路,2,大塘总站 ⇄ 汇景北路总站 / 汇景北路总站2 ⇄ 大塘总站,,,第一巴士,可核对（方向记录已匹配）,汇景北路总站 ⇄ 大塘总站 / 大塘总站 ⇄ 汇景北路总站
210路,2,广州火车站总站 ⇄ 石化路总站 / 石化路总站 ⇄ 广州火车站总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,广州火车站（草暖公园）总站 ⇄ 石化路总站 / 石化路总站 ⇄ 广州火车站（草暖公园）总站
211路,2,南浦岛总站 ⇄ 广州火车站总站 / 广州火车站总站 ⇄ 南浦岛总站,,,广州第一巴士客运公司(广州新穗巴士客运公司),可核对（方向记录已匹配）,南浦岛（锦绣半岛）总站 ⇄ 广州火车站（草暖公园）总站 / 广州火车站（草暖公园）总站 ⇄ 南浦岛（锦绣半岛）总站
214路,2,广州火车东站总站 ⇄ 新塘总站 / 新塘总站 ⇄ 广州火车东总站,,,广州巴士集团有限公司第四分公司三车队,可核对（方向记录已匹配）,广州火车东站总站 ⇄ 南岗万达广场总站 / 南岗万达广场总站 ⇄ 广州火车东站总站
215路,2,东山龟岗(中共三大会址)总站 ⇄ 同德围总站 / 同德围总站 ⇄ 东山龟岗总站,06:00,22:30,广州第一巴士客运公司(广州新穗巴士客运公司),可核对（方向记录已匹配）,东山龟岗（中共三大会址）总站 ⇄ 同德围（丽康居）总站 / 同德围（丽康居）总站 ⇄ 东山龟岗（中共三大会址）总站
217路,2,广卫路总站 ⇄ 芳村西塱总站 / 芳村西塱总站 ⇄ 广卫路总站,06:00,22:45,巴士集团,可核对（方向记录已匹配）,广卫路总站 ⇄ 芳村西塱总站 / 芳村西塱总站 ⇄ 广卫路总站
218路,2,中科院化学所总站 ⇄ 杨桃公园总站 / 杨桃公园总站 ⇄ 中科院化学所总站,06:10,21:30,广州市一汽巴士有限公司二分公司,可核对（方向记录已匹配）,杨桃公园（美林湖畔）总站 ⇄ 中科院化学所总站 / 中科院化学所总站 ⇄ 杨桃公园（美林湖畔）总站
21路,2,均禾工业区总站(清湖村) ⇄ 解放北路总站(应元路口) / 解放北路总站(应元路口) ⇄ 均禾工业区总站(清湖村),,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,均禾工业区（清湖村）总站 ⇄ 解放北路（应元路口）总站 / 解放北路（应元路口）总站 ⇄ 均禾工业区（清湖村）总站
220路,2,动物园总站(先烈中路) ⇄ 南箕路总站 / 南箕路总站 ⇄ 动物园总站(先烈中路),06:20,22:50,巴士集团,可核对（方向记录已匹配）,南箕路总站 ⇄ 动物园（先烈中路）总站 / 动物园（先烈中路）总站 ⇄ 南箕路总站
221路,2,沥滘总站 ⇄ 锦城花园总站(东风东) / 锦城花园总站(东风东) ⇄ 沥滘总站,06:20,22:00,第三巴士,可核对（方向记录已匹配）,锦城花园（东风东）总站 ⇄ 沥滘总站 / 沥滘总站 ⇄ 锦城花园（东风东）总站
222路,2,地铁五羊邨站总站 ⇄ 芳村丰年路总站 / 芳村丰年路总站 ⇄ 地铁五羊邨站总站,06:00,22:00,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,芳村丰年路（黄大仙祠）总站 ⇄ 地铁五羊邨站总站 / 地铁五羊邨站总站 ⇄ 芳村丰年路（黄大仙祠）总站
223路,2,白云花园总站 ⇄ 白云路总站 / 白云路总站 ⇄ 白云花园总站,06:00,22:00,广州巴士集团有限公司第二分公司四车队,可核对（方向记录已匹配）,白云路总站③ ⇄ 白云花园总站 / 白云花园总站 ⇄ 白云路总站③
225路,2,机务段总站 ⇄ 滨江东路总站 / 滨江东路总站 ⇄ 机务段总站,,,广州巴士集团有限公司第二分公司一车队,可核对（方向记录已匹配）,滨江东路总站 ⇄ 机务段总站 / 机务段总站 ⇄ 滨江东路总站
226路,2,大塘总站 ⇄ 恒宝广场总站 / 恒宝广场总站 ⇄ 大塘总站,06:00,22:30,广州第一巴士客运公司(广州新穗巴士客运公司),可核对（方向记录已匹配）,大塘（坚真花园）总站② ⇄ 恒宝广场总站 / 恒宝广场总站 ⇄ 大塘（坚真花园）总站②
229路,2,琶洲石基村总站 ⇄ 罗冲围总站(松南路) / 罗冲围总站(松南路) ⇄ 琶洲石基村总站,06:00,22:00,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,罗冲围（松南路）总站 ⇄ 琶洲石基村（黄埔古港）总站 / 琶洲石基村（黄埔古港）总站 ⇄ 罗冲围（松南路）总站
230路,3,华工大总站 ⇄ 南边路总站 / 南边路总站 ⇄ 华工大总站 / 节假日)(华工大总站 ⇄ 纸厂横马路总站,,,广州第一巴士客运公司(广州新穗巴士客运公司),可核对（方向记录已匹配）,南边路总站 ⇄ 华工大总站 / 华工大总站 ⇄ 南边路总站
233路,2,广州火车东站总站 ⇄ 滘口客运站总站 / 滘口客运站总站 ⇄ 广州火车东站总站,06:00,22:30,广州巴士集团有限公司第二分公司六车队,可核对（方向记录已匹配）,滘口客运站总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 滘口客运站总站
236路,2,天平架总站 ⇄ 滘口客运站总站 / 滘口客运站总站 ⇄ 天平架总站,,,巴士集团,可核对（方向记录已匹配）,天平架总站 ⇄ 滘口客运站总站 / 滘口客运站总站 ⇄ 天平架总站
239路,2,华景新城总站(翰景路) ⇄ 南洲北路总站 / 南洲北路总站 ⇄ 华景新城总站(翰景路),,,巴士集团,可核对（方向记录已匹配）,华景新城（翰景路）总站 ⇄ 南洲北路总站② / 南洲北路总站② ⇄ 华景新城（翰景路）总站
241路,2,云台花园总站 ⇄ 金湖雅苑总站 / 金湖雅苑总站 ⇄ 云台花园总站,05:30,22:00,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,云台花园总站 ⇄ 金湖雅苑总站 / 金湖雅苑总站 ⇄ 云台花园总站
243路,2,员村总站 ⇄ 革新路总站 / 革新路总站 ⇄ 员村总站,,,巴士集团,可核对（方向记录已匹配）,员村（美林花园）总站 ⇄ 革新路（光大花园）总站 / 革新路（光大花园）总站 ⇄ 员村（美林花园）总站
244路,2,江南大道南(地铁江泰路站)总站 ⇄ 黄石东(白云尚城)总站 / 黄石东(白云尚城)总站 ⇄ 江南大道南(地铁江泰路站)总站,06:10,23:30,第一巴士(广州新穗巴士有限公司),可核对（方向记录已匹配）,江南大道南（地铁江泰路站）总站① ⇄ 黄石东（白云尚城）总站 / 黄石东（白云尚城）总站 ⇄ 江南大道南（地铁江泰路站）总站①
244A路,2,汇侨新城总站 ⇄ 江南大道南(地铁江泰路站)总站 / 江南大道南(地铁江泰路站)总站 ⇄ 汇侨新城总站,05:40,22:00,广州第一巴士客运公司(广州新穗巴士客运公司),可核对（方向记录已匹配）,江南大道南（地铁江泰路站）总站① ⇄ 汇侨新城总站 / 汇侨新城总站① ⇄ 江南大道南（地铁江泰路站）总站①
245路,2,员村一横路总站 ⇄ 黄石东总站 / 黄石东总站 ⇄ 员村一横路总站,,,广州巴士集团有限公司第二分公司四车队,可核对（方向记录已匹配）,黄石东（白云尚城）总站 ⇄ 员村一横路总站 / 员村一横路总站 ⇄ 黄石东（白云尚城）总站
246路,2,太和(丰泰横路)总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 太和(丰泰横路)总站,06:00,21:30,广州第二巴士客运公司,可核对（方向记录已匹配）,太和（丰泰横路）总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 太和（丰泰横路）总站
247路,2,南洲北路总站 ⇄ 恒福路总站 / 恒福路总站 ⇄ 南洲北路总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,恒福路总站 ⇄ 南洲北路总站 / 南洲北路总站 ⇄ 恒福路总站
24路,2,云台花园总站 ⇄ 大塘西总站(敦和) / 大塘西总站(敦和) ⇄ 云台花园总站,06:10,22:00,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,大塘西（敦和）总站 ⇄ 云台花园总站 / 云台花园总站 ⇄ 大塘西（敦和）总站
250路,2,中山八路总站 ⇄ 石榴岗总站 / 石榴岗总站 ⇄ 中山八路总站,06:00,23:00,巴士集团,可核对（方向记录已匹配）,石榴岗总站 ⇄ 中山八路总站 / 中山八路总站 ⇄ 石榴岗总站
251路,2,七星岗总站 ⇄ 黄沙总站 / 黄沙总站 ⇄ 七星岗总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,黄沙总站① ⇄ 七星岗（广东省煤炭地质局）总站 / 七星岗（广东省煤炭地质局）总站 ⇄ 黄沙总站
252路,2,外环西路总站 ⇄ 天平架总站 / 天平架总站 ⇄ 外环西路总站(青创汇),,,巴士集团,可核对（方向记录已匹配）,天平架总站 ⇄ 外环西路（青创汇）总站 / 外环西路（青创汇）总站 ⇄ 天平架总站
253路,2,瑞宝乡总站 ⇄ 罗冲围总站(松南路) / 罗冲围总站(松南路) ⇄ 瑞宝乡总站,,,巴士集团,可核对（方向记录已匹配）,瑞宝乡总站 ⇄ 罗冲围（松南路）总站 / 罗冲围（松南路）总站 ⇄ 瑞宝乡总站
254路,2,广州火车站总站 ⇄ 石井红星村总站 / 石井红星村总站 ⇄ 广州火车站总站,,,巴士集团,可核对（方向记录已匹配）,广州火车站（草暖公园）总站 ⇄ 石井红星村总站 / 石井红星村总站 ⇄ 广州火车站（草暖公园）总站
256路,1,珠岛花园总站 ⇄ 珠岛花园总站,,,巴士集团,可核对（方向记录已匹配）,珠岛花园总站 ⇄ 珠岛花园总站
259路,2,罗冲围(松南)总站 ⇄ 广花一路(夏花一路口)1号分站 / 广花一路(夏花一路口)1号分站 ⇄ 罗冲围总站(松南路),06:15,22:00,广州第二巴士客运公司,可核对（方向记录已匹配）,罗冲围（松南路）总站 ⇄ 广花一路（夏花一路口）总站 / 广花一路（夏花一路口）总站 ⇄ 罗冲围（松南路）总站
25路,2,大坦沙总站 ⇄ 昌岗路总站 / 昌岗路总站 ⇄ 大坦沙总站,,,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),可核对（方向记录已匹配）,昌岗路总站 ⇄ 大坦沙（市1中）总站 / 大坦沙（市1中）总站 ⇄ 昌岗路总站
261路,2,大坦沙总站 ⇄ 鱼珠总站 / 鱼珠总站 ⇄ 大坦沙总站,06:00,22:30,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,大坦沙（市1中）总站 ⇄ 鱼珠总站 / 鱼珠总站 ⇄ 大坦沙（市1中）总站
262路,2,新洲码头总站 ⇄ 珠江帝景苑总站 / 珠江帝景苑总站 ⇄ 新洲码头总站,,,巴士集团,可核对（方向记录已匹配）,珠江帝景苑总站 ⇄ 新洲码头总站 / 新洲码头总站 ⇄ 珠江帝景苑总站
263路,2,广州火车东站总站 ⇄ 盈丰路总站 / 盈丰路总站 ⇄ 广州火车东站总站,06:15,22:30,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,广州火车东站总站 ⇄ 盈丰路总站 / 盈丰路总站 ⇄ 广州火车东站总站
264路,2,仑头总站 ⇄ 广仁路总站 / 广仁路总站 ⇄ 仑头总站,,,广州第一巴士客运公司(广州新穗巴士客运公司),可核对（方向记录已匹配）,仑头东环路总站 ⇄ 广仁路总站② / 广仁路总站② ⇄ 仑头东环路总站
