所属站,站组ID,分站名,平台ID,分站编号,车来了分站,经度,纬度,经停线路
广大黄埔研究院正门,广大黄埔研究院正门,广大黄埔研究院正门,BV09329620,,,113.568704,23.309316,新龙镇-03线
广大生活区,广大生活区,广大生活区,BV10016004,,广大生活区,113.366562,23.043175,35路、383路、801路、997路、B25路、夜128路、夜50路、大学城专线1路、大学城专线3路、大学城专线4路、大学城环线1路、番202路旅游专线
广大正门,广大正门,广大正门,BV10327011,,,113.366089,23.039540,35路
广氮花园,广氮花园,广氮花园站,BV11609229,,广氮花园,113.389705,23.140364,408A路、40路
广氮花园南,广氮花园南,广氮花园南站,BV11118502,,广氮花园南,113.390143,23.138434,408A路、408路、40路、432A路、764路、夜43路、B14路
广地花园站,广地花园,广地花园站,BV09272795,,广地花园,113.330932,23.024733,番163B路、番190路
广东白云学院(钟落潭校区),广东白云学院(钟落潭校区),广东白云学院(钟落潭校区),BV11333207,,广东白云学院（钟落潭校区）,113.478752,23.411212,650路、826路
广东兵工总厂中共支部史迹展,广东兵工总厂中共支部史迹展,广东兵工总厂中共支部史迹展,BV09162718,,,113.234613,23.210983,云山红色研学巴士1号线
广东财经大学北门,广东财经大学北门,广东财经大学北门,BV11553740,,广东财经大学北门,113.350684,23.097511,467路
广东大厦,广东大厦,广东大厦1,BV09205705,1,广东大厦①,113.261582,23.133963,133路、209路、229路、297路、74路、80路、B3路、B4路、广276路
广东大厦,广东大厦,广东大厦,BV10016774,2,广东大厦②,113.262559,23.133903,204路、261路、284路、293路、2路、518路、56路、62路、夜18路、夜19路、夜38路、夜5路
广东电视台,广东电视台,广东电视台1,BV09226122,1,广东电视台①,113.276894,23.140712,10路、189路、191路、220路、233路、63路、6路、810路、夜105路
广东电视台,广东电视台,广东电视台2,BV09394368,2,广东电视台②,113.277186,23.140594,125路、225路、482路、545路、886路、B2路、夜14路、夜15路、夜25路、夜41路、夜4路、夜56路、夜5路、夜77路、夜89路
广东电视台,广东电视台,广东电视台,BV11009136,1,广东电视台1,113.276978,23.140674,189路、191路、220路、6路、810路、833路、夜77路、夜89路
广东电子信息中心,广东电子信息中心,广东电子信息中心站,BV11420061,,广东电子信息中心,113.593357,22.743734,九王庙临时接驳线内环、九王庙临时接驳线外环、南沙W2路
广东工大,广东工大(地铁区庄站),广东工大(地铁区庄站)站1,BV09048110,1,广东工大（地铁区庄站）1,113.293196,23.137254,夜89路
广东工大,广东工大(地铁区庄站),广东工大1,BV09130295,1,广东工大（地铁区庄站）①,113.293009,23.137008,133路、夜77路
广东工大,广东工大(地铁区庄站),广东工大(地铁区庄站)2,BV09348370,2,广东工大（地铁区庄站）②,113.294610,23.137017,245路、886路、夜14路、夜19路、夜77路
广东工大,广东工大(地铁区庄站),广东工大站,BV11688452,1,广东工大（地铁区庄站）1,113.293280,23.137014,133路、191路、209路、221路、233路、245路、280路、301A路、30路、545路、810路、886路、B2A路、B2路、B3路、夜105路、夜14路、夜19路、夜25路、夜41路、夜56路、夜88路、夜89路、大学城专线4路、广高峰快线30路
广东工贸职业技术学院,广东工贸职业技术学院,广东工贸职业技术学院,BV11388327,,广东工贸职业技术学院,113.451780,23.406494,650路、714路、725路、738路、从5路长线、从805路、夜116路
广东工业设计城,广东工业设计城,广东工业设计城,BV10254081,,,113.200184,22.907975,佛349路
广东国防教育基地,广东国防教育基地,广东国防教育基地,BV09237932,,广东国防教育基地,113.420393,23.155660,科学城3号交通专线/K3路、高峰快线32路、320路
广东国防教育基地总站,广东国防教育基地总,广东国防教育基地总站,BV10976452,,广东国防教育基地总站,113.424492,23.155463,科学城3号交通专线/K3路、高峰快线32路
广东华侨中学(金沙洲校区),广东华侨中学(金沙洲校区),广东华侨中学(金沙洲校区),BV10442990,,广东华侨中学（金沙洲校区）,113.202088,23.166871,429路循环线、658A路、658B路、广746路
广东机电技术学院,广东机电技术学院,广东机电技术学院,BV10021290,,广东机电技术学院,113.438793,23.383182,738路、979路、夜118路
广东机电职业技术学院北门,广东机电职业技术学院北门,广东机电职业技术学院北门,BV11203461,,广东机电职业技术学院北门,113.439509,23.391949,650路、714路、725路、738路、夜116路
广东警官学院,广东警官学院,广东警官学院,BV10021239,,广东警官学院,113.298551,23.253159,663路
广东培正学院,广东培正学院,广东培正学院,BV11602522,,广东培正学院,113.087636,23.412220,花2B路、花2路、花88路
广东培正学院总站,广东培正学院总,广东培正学院总站,BV11694312,,广东培正学院总站,113.087751,23.411655,713路
广东青年职业学院总站,广东青年职业学院总,广东青年职业学院总站,BV10021294,,广东青年职业学院总站,113.419431,23.371303,655路
广东轻工职业技术大学(南海),广东轻工职业技术大学(南海),广东轻工职业技术大学(南海),BV09372500,,,113.025910,23.159191,佛275路
广东轻工职业技术学院(南海),广东轻工职业技术学院(南海),广东轻工职业技术学院(南海),BV09005574,,,113.024860,23.160695,佛275路
广东软件园,广东软件园,广东软件园站,BV11688328,,广东软件园,113.431868,23.166079,345路、364路、371路、396路、448路、506路、581路、945路、B22路、B4A路、夜81路
广东省环保技工学校,广东省环保技工学校,广东省环保技工学校,BV11118947,,广东省环保技工学校,113.841595,23.272823,增城4路、增城64路
广东省机械技师学院总站,广东省机械技师学院总,广东省机械技师学院总站,BV11620475,,广东省机械技师学院总站,113.243151,23.277933,796路
广东省中医院南沙医院站,广东省中医院南沙医院,广东省中医院南沙医院站,BV09302151,,广东省中医院南沙医院,113.532056,22.711936,南10路、南沙G1路、南沙G2路
广东顺德文德学校,广东顺德文德学校,广东顺德文德学校,BV09227917,,,113.263445,22.855668,314路
广东顺德文德学校,广东顺德文德学校,顺德一中实验学校,BV10253902,,,113.263445,22.855668,314路、佛314路
广东体育职业学院,广东体育职业学院,广东体育职业学院,BV10018189,2,广东体育职业学院,113.408032,23.146111,448路、490路、508路、548路、573路、320路
广东外贸学校,广东外贸学校,广东外贸学校1,BV09400828,1,广东外贸学校,113.364896,23.203002,夜10路
广东外贸学校,广东外贸学校,广东外贸学校,BV10014439,,广东外贸学校,113.364765,23.203434,39路、497A路、775路、84路、夜10路
广东文艺职业学院,广东文艺职业学院,广东文艺职业学院,BV10023373,,广东文艺职业学院,113.340509,22.973440,番150B路、番86路高峰直达短线
广东行政学院,广东行政学院,广东行政学院,BV11147687,,,113.182161,23.400891,花31B路、花68路、花68路短线、花70路、花70路短线、花80路
广东行政职业学院,广东行政职业学院,广东行政职业学院,BV09205522,,广东行政职业学院,113.184113,23.401033,713路、花22路、花2路、花31B路、花68路、花68路白坭班车、花68路短线、花都113路
广东药学院,广东药学院,广东药学院,BV11688519,2,广东药学院②,113.260305,23.101781,121A路、188路、236路、243路、285路、5路、811路、91路、B5路、夜69路、113路
广东药学院总站,广东药学院总,广东药学院总站,BV10019625,,,113.260516,23.101845,大学城专线3路
广东粤剧学校,广东粤剧学校,广东粤剧学校,BV11329604,,,113.054964,23.103433,佛200路
广东仲元中学附属学校总站,广东仲元中学附属学校总,广东仲元中学附属学校总站,BV11620691,,广东仲元中学附属学校总站,113.280968,23.052173,番188路
广发行,广发行,广发行,BV10020759,,广发行,113.820796,23.291018,增城14路、增城17路、增城1路、增城3路、增城64路
广佛路东,广佛路东,广佛路东,BV11688745,,广佛路东,113.195931,23.118561,佛200路、佛236路、佛250路、佛251路、佛263路、佛263路短线、佛277路、佛279路、佛沥12高峰线、广123路、广132路、广260路、广277路、广281路、广286路、广969路、广夜58路、广夜67路、沥12B路、沥12路
广佛路口(滘口客运站),广佛路口(滘口客运站),广佛路口,BV09006180,2,广佛路口（滘口客运站）,113.203313,23.118243,佛200路、佛279路、佛沥12高峰线、夜27路、广123路、广132路、广260路、广277路、广281路、广286路、广969路、广夜67路、沥12B路、沥12路
广佛路口(滘口客运站),广佛路口(滘口客运站),广佛路口2,BV09376899,2,广佛路口（滘口客运站）②,113.202318,23.118870,广夜58路
广佛路口(滘口客运站),广佛路口(滘口客运站),广佛路口(滘口客运站)2,BV11303951,2,,113.202318,23.118870,沥12B路
广佛钟边路口,广佛钟边路口,广佛钟边路口,BV10256179,,广佛钟边路口,113.102425,23.098849,佛200路
广附实验中学,广附实验中学,广附实验中学,BV11104674,,,113.198428,23.165563,429路循环线、658A路
广钢新城(崇文二路)总站,广钢新城(崇文二路)总,广钢新城(崇文二路)总站,CL100015,,广钢新城（崇文二路）总站,113.240456,23.075206,102路
广钢新城(荔勤南路)总站,广钢新城(荔勤南路)总,广钢新城(荔勤南路)总站,BV09160563,,广钢新城（荔勤南路）总站,113.238003,23.065810,87路
广工,广工,广工,BV11319321,,广工,113.389821,23.043561,997路、夜128路、夜50路、大学城专线1路、大学城专线2路、大学城专线3路、大学城专线4路、大学城环线1路、番202路旅游专线
广工一路站,广工一路,广工一路站,BV11599199,,广工一路,113.394425,23.042515,332路、384路/384路旅游专线
广工一路北,广工一路北,广工一路北,BV11068421,,广工一路北,113.390172,23.046646,387路、86路、大学城专线4路
广工一路南站,广工一路南,广工一路南站,BV11599201,,广工一路南,113.395904,23.041051,332路、384路/384路旅游专线
广工正门,广工正门,广工正门,BV10551525,,广工正门,113.394758,23.036568,384路/384路旅游专线、997路、夜128路
广虎站,广虎,广虎站,BV10016045,,广虎站,113.605385,23.119511,214路、571路、增城22路、增城22路/增22路、增城23路、增城25路、增城26路、增城37路、增城38路、增城9路
广花五路口,广花五路口,广花五路口,BV09358986,,,113.221745,23.339368,702路
广花五路路口,广花五路路口,广花五路路口,BV11689613,,广花五路路口,113.221745,23.339368,702路、706路、706路早间短线、707路、712路、713路、夜87路、703路
广花五路中,广花五路中,广花五路中,BV09322862,,广花五路中,113.221170,23.348765,702路
广花一路(夏花一路口),广花一路(夏花一路口),广花一路(夏花一路口),BV09066028,2,广花一路（夏花一路口）,113.256307,23.228927,21路、522路、523A路、523路、58A路、706路、706路早间短线、807路、831路、840路、970路、984路、夜80路、夜85路、夜87路、夜94路
广花一路(夏花一路口),广花一路(夏花一路口),广花一路(夏花一路口)1号分站,BV09387798,,,113.256247,23.230410,984路、259路
广花一路(夏花一路口)总站,广花一路(夏花一路口)总,广花一路(夏花一路口)总站,BV09070830,,,113.255994,23.229335,830路
广惠高速路口,广惠高速路口,广惠高速路口,BV11102411,,广惠高速路口,113.591801,23.167272,379路、516路、571A路、增城23路、增城32路内环、增城32路外环、增城35路、增城38路、增城43路、增夜4路
广惠高速仙村出口,广惠高速仙村出口,广惠高速仙村出口,BV09026393,,广惠高速仙村出口,113.722160,23.202327,增城34路快线、增城64路、增城65路、增城9A路/9A路快线、增城9路
广交会展馆,广交会展馆,广交会展馆,BV10018614,,广交会展馆,113.355820,23.101389,229路、239路、262路、304路、582路、B7路快线、夜101路、夜20路、夜66路、夜70路、大学城专线3路、582路班车、旅游公交3线
广岭,广岭,广岭,BV11690800,,广岭,113.259840,23.378390,711路、夜129路、花1路
广龙路(广从公路口),广龙路(广从公路口),广龙路(广从公路口),BV09301945,,广龙路（广从公路口）,113.391402,23.376833,709路、714路、716路、725路、夜116路
广龙路(广从公路口),广龙路(广从公路口),广龙路,BV11285650,,广龙路,113.391184,23.379071,734路
广龙路(龙大庄),广龙路(龙大庄),广龙路(龙大庄),BV11269592,,广龙路（龙大庄）,113.385692,23.391255,734路
广龙路(钟落潭村),广龙路(钟落潭村),广龙路(钟落潭村),BV11269585,,广龙路（钟落潭村）,113.387926,23.385795,734路
广隆站,广隆,广隆站,BV10015859,,广隆,113.543418,22.783356,南1路B、南夜4路、南沙18路、南沙49路、南沙4路、番141路
广隆路口站,广隆路口,广隆路口站,BV10024106,,广隆路口,113.530421,22.778753,南61路、南沙13路、南沙54路
广美生活区,广美生活区,广美生活区,BV10322981,,广美生活区,113.377036,23.041403,801路、997路、B25路、夜128路、夜50路、大学城专线1路、大学城专线3路、大学城专线4路、番202路旅游专线
广纳院总站,广纳院总,广纳院总站,BV09386240,,,113.439684,23.119761,B30路
广汽乘用车,广汽乘用车,广汽乘用车,BV10558748,,广汽乘用车,113.490944,23.042129,番61路
广汽传祺东二门,广汽传祺东二门,广汽传祺东二门,BV10558743,,广汽传祺东二门,113.491484,23.048064,番61路
广汽传祺东五门,广汽传祺东五门,广汽传祺东五门,BV10558749,,广汽传祺东五门总站,113.484406,23.054585,番61路
广汽荻原基地,广汽荻原基地,广汽荻原基地,BV11018449,,广汽荻原基地,113.486290,23.028772,番31路、番77路
广汽日野站,广汽日野,广汽日野站,BV11491322,,广汽日野,113.523008,23.608460,从401路
广汽研究院,广汽研究院,广汽研究院,BV11635608,,广汽研究院,113.490487,23.041551,番61路
广清城际乐同站,广清城际乐同,广清城际乐同站,BV11466203,,广清城际乐同站,113.168704,23.426794,花21路
广清城际狮岭站,广清城际狮岭,广清城际狮岭站,BV11463291,,广清城际狮岭站,113.142285,23.456887,花23路、花89路
广仁路总站,广仁路总,广仁路总站,BV10018482,2,广仁路总站②,113.262442,23.130623,264路、B4路、南沙K8路
广日电梯,广日电梯,广日电梯,BV11612998,,,113.287509,23.016376,番145路、番夜2路
广榕路站,广榕路,广榕路站,BV09334661,,广榕路,113.324521,23.262010,984路
广汕二路,广汕二路,广汕二路,BV11688327,,广汕二路,113.418647,23.193593,345A路、491路、494路、497路、564路、83路、901路、夜100路
广汕公路(邓屋路口),广汕公路(邓屋路口),广汕公路(邓屋路口),BV09269457,,广汕公路（邓屋路口）,113.524691,23.263259,345路
广汕路(科景路口),广汕路(科景路口),广汕路(科景路口),BV09066404,,广汕路（科景路口）,113.443339,23.192404,325路、345A路、345路、396路、83路、946路、夜60路、夜68路、夜81路、333路
广汕路口(邓屋路口),广汕路口(邓屋路口),广汕路口(邓屋路口),BV09271781,,,113.524841,23.263193,345路
广汕路(科景路口)总站,广汕路总站(科景路口),广汕路(科景路口)总站,BV09070817,,广汕路（科景路口）,113.445441,23.194119,325路、83路、夜68路、夜81路
广汕路(科景路口)总站,广汕路总站(科景路口),广汕路总站(科景路口),BV09074106,,广汕路（科景路口）总站,113.445441,23.194119,83路、946路、夜81路
广汕一路,广汕一路,广汕一路,BV11688562,,广汕一路,113.377391,23.194051,494路、564路、83路、84A路、夜100路、夜71路
广汕一路东,广汕一路东,广汕一路东站,BV11573879,,广汕一路东,113.394936,23.195529,345A路、491路、494路、497A路、497路、564路、83路、夜100路
广汕一路总站(林机街),广汕一路总站(林机街),广汕一路总站(林机街),BV09042300,,广汕一路,113.366134,23.190679,494路
广生路站,广生路,广生路站,BV10634779,,,113.547690,22.774861,南61路
广生路口站,广生路口,广生路口站,BV10016464,,广生路口,113.541486,22.770422,南27路、南61路、南夜4路、南沙13路、南沙54路
广师大,广师大,广师大,BV09397675,,广师大,113.366449,23.131858,B1路、B20路、B2路、B3路、B4A路、夜17路、夜19路、夜25路、夜34路、夜36路、夜38路、夜41路、夜43路、夜48路、夜68路、夜9路
广师大,广师大,广师大站,BV09397777,,广师大,113.366434,23.131494,B16路、B17路、B21路、B3路、B4路、B5路、B8路、夜17路、夜19路、夜25路、夜34路、夜36路、夜38路、夜41路、夜43路、夜48路、夜68路、夜9路
广师大,广师大,BRT广师大站,BV09403156,,,113.366164,23.132026,B12路、B17路、B20路、B25路、B2A路、B3路、B4路、B14路
广师大,广师大,BRT广师大站,BV09403159,,,113.367313,23.131235,B12路、B16路、B1路、B2A路、B2路、B4A路、B8路
广视宾馆,广视宾馆,广视宾馆,BV10021618,,广视宾馆,113.275257,23.142616,297路、482路、63路、旅游公交1线、110路、109路
广塘,广塘,广塘,BV11690802,,广塘,113.261190,23.374945,711路、夜129路、花1路、704路
广铁一中,广铁一中,广铁一中,BV10019759,,,113.483568,22.950669,番111路、番93路、番夜4路
广铁一中天峰中学,广铁一中天峰中学,广铁一中天峰中学站,BV11507782,,广铁一中天峰中学,113.489154,22.948914,番151路、番162B路、番162B路高峰快线、番夜4路
广铁一中亚运城小学,广铁一中亚运城小学,广铁一中亚运城小学,BV11507780,,,113.483896,22.949652,番151路
广外(白云山西门),广外(白云山西门)#1,广外(白云山西门)2,BV09091928,2,广外（白云山西门）②,113.281565,23.201514,223路、38路、529路、660路环线、76路、864路
广外(白云山西门),广外(白云山西门)#1,广外(白云山西门)1,BV09176205,1,广外（白云山西门）①,113.281819,23.201584,265路、706路、76A路、76路、864路、B18路、B18路快线、夜9路
广外(白云山西门),广外(白云山西门)#1,广外,BV11088402,2,广外（白云山西门）②,113.281565,23.201514,223路、245路、265路、38路、529路、660路环线、66路、706路、76A路、B18路、B18路快线、夜122路、大学城专线1路、广424路
广外(白云山西门),广外(白云山西门)#2,广外,BV11688375,,广外,113.392864,23.063890,夜50路、夜65路、大学城专线1路、大学城专线3路、大学城环线1路、番201路、番202路旅游专线
广外北门,广外北门,广外北门,BV10389126,,广外北门,113.284914,23.207813,798路
广外附设外语学校,广外附设外语学校,广外附设外语学校,BV11688460,,广外附设外语学校,113.251285,23.248234,21路、522路、706路、706路早间短线、807路、840路、夜80路、夜94路
广外南国商学院,广外南国商学院,广外南国商学院站2分站,BV09314902,,,113.373954,23.338053,979路
广外南国商学院,广外南国商学院,广外南国商学院,BV11621037,1,广外南国商学院①,113.374798,23.337899,827路
广外南路口站,广外南路口,广外南路口站,BV10795607,,,113.283717,23.201362,660路环线
广外正门,广外正门,广外正门站,BV09229654,,广外正门,113.394795,23.068394,361路
广外总站,广外总,广外总站,BV10795608,,,113.288247,23.199771,660路环线、大学城专线1路
广卫路总站,广卫路总,广卫路总站4,BV09174824,4,广卫路总站④,113.260739,23.130034,夜38路
广卫路总站,广卫路总,广卫路总站,BV10013719,1,广卫路总站①,113.260448,23.130014,14路、193路、217路、265路、27路、293路、528路、64路、833路、夜56路、夜72路、广281路、广286路、广夜67路
广物汽车城,广物汽车城,广物汽车城,BV11354133,,广物汽车城,113.164280,23.171204,里17路
广新路,广新路,广新路,BV10014597,,广新路,113.468987,23.099236,434路、B30路、夜73路
广新路(马洞龙马路口),广新路(马洞龙马路口),广新路(马洞龙马路口),BV11469404,,广新路（马洞龙马路口）,113.452767,23.363518,738路、979路、夜118路
广新路(石化路口),广新路(石化路口),广新路(石化路口),BV10942232,,广新路（石化路口）,113.460660,23.102616,377路、434路
广新路口,广新路口,广新路口,BV10942231,,广新路口（地铁大沙东站）,113.452465,23.108579,434路
广新路中,广新路中,广新路中,BV10942230,,广新路中,113.456251,23.105011,434路
广信中学,广信中学,广信中学,BV09184301,,,113.265658,23.246266,251路、978路、夜63路
广雅路,广雅路,广雅路,BV11290711,,广雅路,113.237559,23.140723,486路
广雅中学花都校区北门,广雅中学花都校区北门,广雅中学花都校区北门,BV09405701,,,113.226668,23.371722,花106路
广药路,广药路,广药路,BV10946156,,,113.400853,23.058497,86路、大学城专线2路
广药生活区,广药生活区,广药生活区,BV10022004,,广药生活区,113.390903,23.056206,383路
广医,广医,广医2,BV09186856,2,广医②,113.250313,23.135183,133路、186路、204路、215路、229路、253路、256路、261路、297路、29路、2路、31路、555路、556路、62路、80路、夜18路、夜19路、夜21路、夜26路、夜7路、广12路、广276路、105路
广医,广医,广医3,BV11167722,3,广医③,113.249752,23.135364,133路、181路、204路、251路、261路、297路、29路、2路、305路、38路、518路、823路、B3路、广283路、广283路班车、广高峰快线30路
广医,广医,广医,BV11688391,2,广医②,113.250313,23.135183,229路、253路、268路、305路、31路、62路、B3路、夜95路、广12路、广276路、广283路、广283路班车、广高峰快线30路、109路、105路
广医大(番禺校区),广医大(番禺校区),广医大(番禺校区),BV10388840,,广医大（番禺校区）,113.423120,23.042981,番51路、番53路、番60路
广医二院,广医二院,广医二院(西行),BV09355451,2,广医二院②,113.275016,23.095209,188路
广医二院,广医二院,广医二院(停东行),BV09374184,1,广医二院①,113.274583,23.094928,188路
广医二院,广医二院,广医二院,BV11688346,2,广医二院2,113.274657,23.094956,190路、206路、221路、226路、250路、253路、270路、273路、53路、546路、69路、70路、812路、813路、82路、B9路、夜23路、夜29路、夜33路、夜37路、夜44路、夜45路、夜93路、大学城专线3路
广医二院(番禺院区)南门,广医二院南门(番禺院区),广医二院南门(番禺院区),BV11168024,,广医二院南门（番禺院区）,113.483477,22.944661,番111路、番149路
广医二院(番禺院区)南门,广医二院南门(番禺院区),广医二院(番禺院区)南门,BV11483408,,广医二院南门（番禺院区）,113.484190,22.946962,番111路、番162B路、番93路
广医二院总站(番禺院区),广医二院总站(番禺院区),广医二院总站(番禺院区),BV11500344,,,113.482688,22.944823,番微公交8线
广医妇儿医院西门,广医妇儿医院西门,广医妇儿医院西门,BV09320577,,,113.485812,23.209573,328路、328路支线
广医附属中医院总站,广医附属中医院总,广医附属中医院总站,BV09234562,,广医附属中医院总站,113.383369,23.143200,408A路、40路
广医一院总站(靖海路),广医一院总站(靖海路),广医一院总站(靖海路),BV10015709,,广医一院（靖海路）总站,113.256470,23.114977,58路
广裕祠东门,广裕祠东门,广裕祠东门,BV11595178,,广裕祠东门,113.540010,23.434818,从804路
广园客运站,广园客运,广园客运站2号分站,BV09311738,,,113.265570,23.160938,481路环线
广园客运站,广园客运,广园客运站,BV10013626,2,广园客运站②,113.266630,23.160910,179路、181路、189路、199路、210路、24路、257路、265路、273路、298路、32路、36路、38路、46路、481路环线、540路、63路、夜35路、高峰快线21路、高峰快线80路
广园路(科韵路口),广园路(科韵路口),广园路(科韵路口)站,BV11118500,,广园路（科韵路口）,113.378521,23.138828,408路、764路、772路、夜43路
广园天寿路口东,广园天寿路口东,广园天寿路口东,BV11688557,,广园天寿路口东,113.333513,23.149506,210路、214路、266路、363路、503路、508路、776路、813路、B18路、B18路快线、B19路、大学城专线1路、大学城专线2路、高峰快线24路
广园西路,广园西路,广园西路,BV10017170,,广园西路,113.253240,23.163657,179路、198路、278路、46路、470路、540路、夜105路
广园新村,广园新村,广园新村,BV11088410,,,113.262249,23.161381,189路、199路、546路
广园新村总站,广园新村总,广园新村总站,BV10017947,,广园新村总站,113.264347,23.164800,186路、284路、夜40路
广园中路,广园中路,广园中路,BV10013627,2,广园中路②,113.271658,23.161843,179路、181路、189路、199路、210路、24路、257路、265路、273路、298路、32路、36路、38路、46路、540路、63路、76路、夜35路、大学城专线1路、高峰快线21路
广源铝业,广源铝业,广源铝业,BV10389125,,,112.923935,23.284877,655A线、655B路、655路
广运车站,广运车,广运车站,BV10499096,,广运车站,113.832086,23.295412,增城13路、增城15路
广纸路,广纸路,广纸路,BV10021795,,广纸路,113.265253,23.077437,220路、230路、29路、31路、469路、544路、963路、夜24路、夜7路
广中码头,广中码头,广中码头,BV11688526,,广中码头,113.243998,23.082649,181路、19路、52路、64路、夜11路、夜72路、广275路、102路
广中医广药,广中医广药,广中医广药,BV10014616,,广中医广药,113.398486,23.059308,夜50路、大学城专线1路、大学城专线3路、大学城环线1路、番201路、番202路旅游专线
广中医路,广中医路,广中医路,BV10338269,,广中医路,113.394397,23.059737,383路
广中医路路口,广中医路路口,广中医路路口,BV10327024,,广中医路路口,113.396980,23.063348,383路、夜65路
广州白云站东广场,广州白云站东广场,广州白云站东广场站,BV09226497,,,113.244130,23.197859,421路、510路、523路、662路、807A路、925路、夜75路
广州白云站东广场总站,广州白云站东广场总,广州白云站东广场总站,BV09268985,,广州白云站东广场总站,113.244089,23.193209,705路
广州白云站公交总站,广州白云站公交总,广州白云站公交总站,BV09224761,,广州白云站公交总站,113.238862,23.196101,421路、510路、523路、527路、662路、807A路、839路、840路、925路、夜22路、夜75路、夜77路、夜94路
广州白云站西广场,广州白云站西广场,广州白云站西广场,BV09225302,,广州白云站西广场,113.236594,23.193255,527路、539路、63路、7路、夜77路、夜80路、夜94路、259路
广州北站(秀全大道),广州北站(秀全大道),广州北站,BV10939053,,广州北站,113.199609,23.380871,702路、花10路、花17路联民村、花19路、花6路、花81路、花84路、花86路
广州北站(秀全大道),广州北站(秀全大道),广州北站(秀全大道),BV11539721,,广州北站（秀全大道）总站,113.201008,23.379436,705路、706路、夜87路、花106路、花10路、花17路联民村、花62路、花6路、花73路、花80路、花81路、花84路、花86路、花8路
广州北站西广场,广州北站西广场,广州北站西广场,BV11634410,,广州北站西广场总站,113.194777,23.379882,花1路、花23路、花31B路、花6路、花7路
广州北站总站(秀全大道),广州北站总站(秀全大道),广州北站总站,BV10014464,,,113.199565,23.380337,花80路、花85路
广州北站总站(秀全大道),广州北站总站(秀全大道),广州北站总站(秀全大道),BV11662637,,广州北站（秀全大道）总站,113.201008,23.379436,706路
广州本田公司,广州本田公司,广州本田公司站,BV10714278,,广州本田公司,113.443102,23.122479,210路、214路、326路、347路、363路、B29路、高峰快线24路
广州碧桂园,广州碧桂园,广州碧桂园站,BV11688559,,广州碧桂园,113.286048,23.033411,211路、310路、310路高峰短线、311路、769路/769路快线、公交地铁接驳专线4路、夜133路
广州碧桂园总站,广州碧桂园总,广州碧桂园总站,BV10015046,,广州碧桂园总站,113.285980,23.032846,305路、番53路、番57路
广州城电狮岭充电站总站,广州城电狮岭充电站总,广州城电狮岭充电站总站,BV09400273,,广州城电狮岭充电站总站,113.159455,23.451758,715路、夜92路
广州城建校,广州城建校,广州城建校,BV09181069,,广州城建校,113.651608,23.301234,370路、增城71路、科教城2路
广州城市理工学院,广州城市理工学院,广州城市理工学院,BV11552462,,广州城市理工学院总站,113.168937,23.430769,19路直达快线、712路、花10路、花30路、花76路、花7路
广州城职院,广州城职院,广州城职院,BV09184473,,广州城职院,113.650664,23.302506,370路、增城71路、科教城2路
广州船坞总站,广州船坞总,广州船坞总站,BV10387771,,广州船坞总站,113.657992,22.678274,南1路B、南21路、南沙21路支线、南沙62路、南沙62路短线、南沙1路
广州大道北总站,广州大道北总,广州大道北总站,BV10837241,,广州大道北（南湖山庄）总站,113.332443,23.220794,560路、882路快线
广州大道南(叠景路口),广州大道南(叠景路口),广州大道南(叠景路口),BV09181701,1,广州大道南（叠景路口）①,113.310698,23.087268,高峰快线35路
广州大道南(叠景路口),广州大道南(叠景路口),广州大道南(叠景路口)1,BV09183567,1,广州大道南（叠景路口）①,113.310492,23.089128,122路、182路、195路、230路、239路、247路、301A路、305路、488路、562路、767路、823路、836路、8路、B7路、B7路快线、夜101路、夜28路、夜30路、夜33路、夜34路、夜6路、夜88路、964路
广州大道南(叠景路口),广州大道南(叠景路口),广州大道南(叠景路口)2,BV09184938,2,广州大道南（叠景路口）②,113.310455,23.087124,122路、182路、211路、239路、247路、264路、301A路、305路、488路、562路、767路、823路、88路、8路、B7路、夜28路、夜34路、夜61路
广州大道南(叠景路口),广州大道南(叠景路口),广州大道南(叠景路口)3,BV09238939,3,广州大道南（叠景路口）③,113.310730,23.087952,208路、24路、264路、51路、836路、夜30路、夜61路、夜88路
广州大道南路口,广州大道南路口,广州大道南路口,BV10021180,,广州大道南路口,113.313676,23.080583,264路、583路、761路、779路、夜20路、夜33路、夜6路
广州大道中,广州大道中#1,广州大道中2,BV09230306,2,广州大道中②,113.309605,23.140619,122路、133路、140路、183路、191路、502路、540路、56路、78路、882路快线、B12路、夜24路、夜28路、夜35路、夜70路
广州大道中,广州大道中#1,广州大道中1,BV09382002,1,广州大道中①,113.309782,23.140121,140路、252路、502路、51路、56路、836路、882路快线、B12路、夜24路、夜35路、夜70路、夜74路、夜47路、B6路快线、B6路
广州大道中,广州大道中#1,广州大道中,BV11687847,3,广州大道中③,113.309782,23.140121,133路、191路、209路、30路
广州大道中,广州大道中#2,广州大道中,BV10014367,1,广州大道中（地铁沙河站）①,113.308726,23.150190,136路、175路、246路、30路、504路、508路、540路、841路、B16路、商务专线5路、夜74路
广州大道中路口,广州大道中路口,广州大道中路口,BV10021693,,广州大道中路口,113.308400,23.142899,192路、199路、27路、547路、78路、夜14路
广州大剧院西门站,广州大剧院西门,广州大剧院西门站,BV09355192,,广州大剧院西门,113.315809,23.117830,499路
