所属站,站组ID,分站名,平台ID,分站编号,车来了分站,经度,纬度,经停线路
奥体南路,奥体南路,奥体南路站,BV11279578,,奥体南路,113.408825,23.136051,326路、347路、348路、403路、432A路、448路、465路、547路、903路、944路、B29路、夜34路、夜46路、320路
奥体南路口,奥体南路口,奥体南路口,BV10387627,,奥体南路口,113.406496,23.136079,448路、490路、320路
奥体南路总站,奥体南路总,奥体南路总站,BV11388273,,奥体南路,113.412274,23.135398,547路、320路
奥园城市天地,奥园城市天地,奥园城市天地,BV09105074,,奥园城市天地,113.629998,23.158420,增城21路、增城29路、增城34路、增城36路、增城64路、增城9路
奥园城市天地总站,奥园城市天地总,奥园城市天地总站,BV11038088,,奥园城市天地总站,113.329032,22.994363,公交地铁接驳专线9路、地铁接驳10A线、番109B路、番109路、番125路、番163A路、番163B路、番89路
奥园广场,奥园广场,奥园广场,BV10019915,,奥园广场,113.355616,22.926876,番129路、番30路
奥园广场总站,奥园广场总,奥园广场总站,BV10019864,,奥园广场总站,113.352765,22.927512,番165路、番30路、番3路、番夜5路
奥园入口,奥园入口,奥园入口,BV09177349,,,113.587180,22.754142,南沙18路
奥园誉峰,奥园誉峰,奥园誉峰,BV11244692,,奥园誉峰,113.596046,23.175777,373路、增城43路
奥园中环广场站,奥园中环广场,奥园中环广场站,BV10465053,,奥园中环广场,113.535571,22.803386,南沙18路、南沙19路、南沙49路、南沙G4路、南沙学1路、番141路、番143路
澳洲山庄,澳洲山庄,澳洲山庄,BV10021977,,澳洲山庄,113.521374,23.255027,345路
八达岭,八达岭,八达岭,BV10016084,,八达岭,113.618155,23.128107,增城28路、增城37路、新塘万达1路
八斗村,八斗村,八斗村,BV10017637,,八斗村,113.432584,23.262589,346路、973路、节假日公交专线7路
八斗村总站,八斗村总,八斗村总站,BV10847082,,八斗村（天鹿湖社区服务站）总站,113.431246,23.261676,449路
八斗立交北,八斗立交北,八斗立交北,BV11329034,,八斗立交北,113.429640,23.254973,346路、449路
八坊天桥,八坊天桥,八坊天桥,BV10253214,,,113.259484,22.825148,312路
八哥村,八哥村,八哥村,BV11486243,,八哥村,113.442093,23.221504,328路、328路支线
八坜布经济社,八坜布经济社,八坜布经济社,BV10019404,,八坜布经济社,113.179496,23.461178,花88路、花88路短线、花89路
八顷桥(临时),八顷桥(临时),八顷桥(临时),BV09308330,,,113.560404,22.629544,南沙16路、南沙9路团结围线
八涌站,八涌,八涌站,BV11421613,,,113.557949,22.689057,南25路
拔蛟窝,拔蛟窝,拔蛟窝,BV10262480,,拔蛟窝,113.706406,23.064062,莞75路
白洞桥,白洞桥,白洞桥,BV10860788,,白洞桥,113.653976,23.341802,增城54路
白鹅潭艺术中心码头,白鹅潭艺术中心码头,白鹅潭艺术中心码头,BV09266627,,,113.238530,23.100593,S6A黄沙-芳村航线
白岗村,白岗村#1,白岗村,BV10018732,,白岗村,113.555811,23.604144,从18路、从901路、从902路
白岗村,白岗村#2,白岗村,BV10018733,,白岗村,113.403236,22.992858,番81路
白岗路口,白岗路口,白岗路口,BV11690538,,,113.137822,23.240013,佛里07B路
白岗市场,白岗市场,白岗市场,BV10252683,,白岗市场,113.138958,23.235890,佛里07B路、广231路
白鹤洞,白鹤洞,白鹤洞站,BV10800475,,白鹤洞,113.232844,23.073855,181路、19路、222路、285路、410路、583路、69路、70路、769路/769路快线、787路、811路、91路、夜103路、夜11路、夜36路、夜44路、夜72路、广275路、广277路、广565路、87路、102路
白鹤洞码头,白鹤洞码头,白鹤洞码头,BV10601613,,,113.246610,23.082128,S9白蚬壳-白鹤洞航线
白鹤沙路,白鹤沙路,白鹤沙路,BV09208609,,白鹤沙路,113.217782,23.073323,487路
白鹤沙总站,白鹤沙总,白鹤沙总站,BV09208607,,白鹤沙总站,113.218232,23.070640,487路
白湖村,白湖村,白湖村,BV10024261,,白湖村,113.846940,23.360702,增城17路
白江地铁站,白江地铁,白江地铁站,BV10975754,,白江地铁站,113.591508,23.125130,372路、379路、571A路、571B路、增城23路、增城24路、增城25路、增城26路、增城28路、增城29路、增城32路内环、增城32路外环、增城35路、增城45路、增夜4路、莞615路、增城26A路
白江湖森林公园,白江湖森林公园,白江湖森林公园,BV11488231,,白江湖森林公园,113.903739,23.499787,增城66路
白兰站,白兰,白兰站,BV11352955,,白兰站,113.374196,23.600256,从404路
白兰花园,白兰花园,白兰花园,BV11267332,,白兰花园,113.263605,23.171903,479路、夜82路
白马服装市场(站前路),白马服装市场(站前路),白马服装市场(站前路),BV10380933,,白马服装市场（站前路）,113.250265,23.149322,301A路、商务专线3路
白马塘,白马塘,白马塘,BV11352957,,白马塘,113.453829,23.449086,从806路
白米布,白米布,白米布,BV10019340,,白米布,113.295791,23.318475,510路、840路、夜123路、夜94路
白米巷站,白米巷,白米巷站,BV11309831,,,113.010717,22.838071,佛236路
白面石村(招呼站),白面石村(招呼站),白面石村,BV11119358,,,113.966355,23.416890,增城72A路
白面石村(招呼站),白面石村(招呼站),白面石村(招呼站),BV11409787,,,113.965726,23.417790,增城72A路
白坭,白坭,白坭,BV11599738,,白坭,113.023220,23.422583,花81路
白坭小学,白坭小学,白坭小学,BV11599747,,白坭小学,113.014516,23.439776,花81路
白沙,白沙,白沙,BV11457906,,白沙（中海金沙湾）,113.202389,23.144102,夜112路、广789路
白沙(中海金沙湾)总站,白沙(中海金沙湾)总,白沙(中海金沙湾)总站,BV11341395,,白沙（中海金沙湾）总站,113.201855,23.143853,42路、夜122路、广283路班车、广夜54路、广205路
白沙村,白沙村,白沙村,BV10018425,,白沙村,113.361095,23.345901,473路、650路、724路、732路、733路、976路、979路、夜83路
白沙村口,白沙村口,白沙村口,BV11621036,,白沙村口,113.367030,23.340135,979路
白沙村总站,白沙村总,白沙村总站,BV10381111,,白沙村,113.375397,23.337841,724路
