合并站名,站组ID,原始分站名,站点ID,经度,纬度
化龙镇中心小学,化龙镇中心小学,化龙镇中心小学,BV11619188,113.457898,23.035792
化龙驾驶人考场,化龙驾驶人考场,化龙驾驶人考场,BV11162078,113.456961,23.060323
北京路口,北京路口,北京路口,BV11402648,113.264607,23.124011
北亭村大街,北亭村大街,北亭村大街,BV11683385,113.371053,23.055035
北兴,北兴,北兴,BV10019353,113.415472,23.42836
北兴中学,北兴中学,北兴中学,BV11226216,113.41926,23.434633
北兴中心小学,北兴中心小学,北兴中心小学,BV11226214,113.419665,23.43039
北兴供电所,北兴供电所,北兴供电所站,BV11388332,113.419009,23.428935
北兴卫生院,北兴卫生院,北兴卫生院,BV09112242,113.412499,23.427918
北向庄,北向庄,北向庄站,BV09209212,113.366195,23.40758
北园西路,北园西路,北园西路,BV10023646,113.29152,23.047599
北城公交总站,北城公交总,北城公交总站,BV09011622,113.360255,22.945817
北城公交站,北城公交,北城公交站,BV10023190,113.360255,22.945817
北城白云花园,北城白云花园,北城白云花园,BV10019940,113.362354,22.953531
北太路(创新路口),北太路(创新路口),北太路(创新路口),BV11503038,113.306124,23.297241
北太路东,北太路东,北太路东站,BV10019298,113.335726,23.29819
北太路中,北太路中,北太路中站,BV11488535,113.323818,23.297835
北太路柏塘村口,北太路柏塘村口,北太路柏塘村口站,BV11166353,113.315437,23.297668
北太路西,北太路西,北太路西站,BV11166350,113.299813,23.296668
北山,北山,北山,BV10013862,113.369619,23.08655
北山公园,北山公园,北山公园,BV10018260,113.364421,23.083826
北山总站,北山总,北山总站,BV10541319,113.364075,23.084706
北山村,北山村,北山村,BV10013668,113.363678,23.085033
北山村(新滘东路),北山村(新滘东路),北山村(新滘东路),BV11475052,113.361746,23.087896
北山村总站(新滘东路),北山村总站(新滘东路),北山村总站(新滘东路),BV10022387,113.361827,23.087845
北山路口,北山路口,北山路口,BV10019070,113.361,23.08851
北岸花园,北岸花园,北岸花园,BV11322316,113.58173,23.023254
北师大实验学校西门,北师大实验学校西门,北师大实验学校西门,BV09103169,113.487201,23.206785
北帝庙,北帝庙,北帝庙,BV10022837,113.572705,23.553669
北斗桥底站,北斗桥底,北斗桥底站,BV10323095,113.346844,22.890694
北斗渡口,北斗渡口,北斗渡口站,BV09009791,113.340948,22.889672
北斗渡口,北斗渡口,北斗渡口站2,BV09253463,113.339136,22.888913
北斗渡口,北斗渡口,北斗渡口站1,BV09269674,113.340948,22.889672
北星,北星,北星站,BV10018723,113.579271,23.557461
北星路口,北星路口,北星路口,BV11657598,113.591698,23.543451
北村,北村#1,北村,BV11688527,113.292949,23.299378
北村,北村#2,北村,BV09006200,113.172033,23.12526
北村德星里,北村德星里,北村德星里,BV10252209,113.172835,23.127523
北村桥站,北村桥,北村桥站,BV11482983,113.291888,23.295292
北村路,北村路,北村路,BV10625233,113.168475,23.115219
北村闸,北村闸,北村闸,BV11688704,113.174423,23.132148
北汽,北汽,北汽,BV10421870,113.853761,23.246382
北流村口,北流村口,北流村口,BV09315213,113.39179,22.799672
北流村站,北流村,北流村站,BV10382348,113.38922,22.802966
北海村总站,北海村总,北海村总站,BV10023280,113.33705,22.933992
北海村水果批发市场,北海村水果批发市场,北海村水果批发市场,BV10023281,113.340275,22.936145
北湖三路,北湖三路,北湖三路,BV11688741,113.054231,23.063058
北滘交警中队,北滘交警中队,北滘交警中队,BV10254185,113.212377,22.908284
北滘公园,北滘公园,北滘公园,BV10255226,113.208078,22.934533
北滘商业广场,北滘商业广场,北滘商业广场,BV10254562,113.209942,22.934505
北滘文化广场,北滘文化广场,北滘文化广场,BV10254085,113.200274,22.923087
北滘行政服务中心,北滘行政服务中心,北滘行政服务中心,BV10254563,113.212576,22.937111
北环路,北环路,北环路站,BV09357587,113.290949,23.049573
北环路(圃结街路口),北环路(圃结街路口),北环路(圃结街路口),BV11627531,113.286458,23.052261
北环路东,北环路东,北环路东,BV11579688,113.189889,23.122967
北环路中,北环路中,北环路中,BV11579689,113.183887,23.123727
北环路北,北环路北,北环路北,BV09412892,113.17808,23.128367
北社路,北社路,北社路,BV10550118,113.410802,23.242519
北社路中,北社路中,北社路中,BV10550114,113.413276,23.242606
北站,北,北站1,BV09226114,113.248931,23.166339
北站,北,北站,BV10013762,113.248572,23.166358
北站总站,北站总,北站总站,BV10018339,113.247854,23.166762
北站社区,北站社区,北站社区,BV11671079,113.2426,23.169502
北站路,北站路,北站路,BV11671078,113.246803,23.167374
北较场横路,北较场横路,北较场横路,BV11328395,113.275429,23.139372
北较场路,北较场路,北较场路,BV11328397,113.272552,23.140595
北龙路站,北龙路,北龙路站,BV11171607,113.381025,22.798999
区二中,区二中,区二中,BV11363518,113.859324,23.27772
区人力资源市场,区人力资源市场,区人力资源市场,BV09313067,113.206387,23.420207
区健康管理中心,区健康管理中心,区健康管理中心,BV09304539,113.307518,22.939973
区公安分局,区公安分局,区公安分局,BV11251217,113.803795,23.288725
区公汽东门,区公汽东门,区公汽东门,BV10382999,113.424637,22.937785
区公汽公司,区公汽公司,区公汽公司,BV09006341,113.423368,22.939267
区卫健局,区卫健局,区卫健局,BV11251218,113.824081,23.30904
区婚姻登记处,区婚姻登记处,区婚姻登记处,BV11018300,113.632793,23.629469
区市场监督管理局,区市场监督管理局,区市场监督管理局,BV11607348,113.373626,22.93522
区庄立交西,区庄立交西,区庄立交西站,BV10943425,113.285743,23.138057
区政务中心,区政务中心,区政务中心,BV11621652,113.814417,23.275151
区政务服务中心站(西),区政务服务中心站(西),区政务服务中心站,BV11589148,113.515933,22.803554
区政务服务中心站(西),区政务服务中心站(西),区政务服务中心站(西),BV11580785,113.516191,22.803467
区政府东门,区政府东门,区政府东门,BV09293280,113.38128,22.939491
区政府东门,区政府东门,区政府东门分站,BV11562298,113.381866,22.936987
区政府东门(永旺梦乐城)站,区政府东门(永旺梦乐城),区政府东门(永旺梦乐城)站,BV09305549,113.38128,22.939491
区政府东门总站,区政府东门总,区政府东门总站,BV10632191,113.381434,22.939716
区税务局,区税务局,区税务局,BV11206714,113.21792,23.407938
区行政服务中心,区行政服务中心,区行政服务中心站,BV09200513,113.290869,22.807733
医药职业学校,医药职业学校,医药职业学校,BV09323257,113.668771,23.291003
医谷(视联科创)站,医谷(视联科创),医谷(视联科创)站,BV09305436,113.526212,22.727906
医谷站,医谷,医谷站,BV09099102,113.526212,22.727906
医院西站,医院西,医院西站,BV11179385,113.037181,23.065177
十三涌,十三涌,十三涌,BV10017243,113.59591,22.653078
十三社,十三社,十三社,BV11595177,113.579808,23.438733
十三队站,十三队,十三队站,BV10015920,113.475063,22.822463
十九涌站,十九涌,十九涌站,BV10326958,113.641055,22.603135
十九路军陵园,十九路军陵园,十九路军陵园,BV10016136,113.301958,23.148854
十二岭路,十二岭路,十二岭路,BV10019001,113.292431,23.220464
十二涌站,十二涌,十二涌站,BV10015830,113.592382,22.656479
十二队站,十二队,十二队站,BV10015923,113.472759,22.83338
十八亩,十八亩,十八亩,BV10252549,113.0294,23.053084
十八罗汉景区正门站,十八罗汉景区正门,十八罗汉景区正门站,BV10405463,113.39708,22.797201
十六涌站,十六涌,十六涌站,BV10024031,113.62176,22.631162
十四涌水产市场,十四涌水产市场,十四涌水产市场,CL100009,113.604736,22.645256
十四队站,十四队,十四队站,BV10015921,113.473513,22.826515
十字滘村,十字滘村,十字滘村,BV10601539,113.711589,23.149313
十字路口站,十字路口,十字路口站,BV11352952,113.471731,23.433678
十涌,十涌,十涌,BV10017245,113.576728,22.671782
十涌半临时站,十涌半临时,十涌半临时站,BV09395192,113.579853,22.668973
十里尚堤西苑,十里尚堤西苑,十里尚堤西苑,BV09385654,113.16506,23.16048
十里江湾,十里江湾,十里江湾,BV11111199,113.586598,23.023322
十里江湾北,十里江湾北,十里江湾北,BV09316249,113.583905,23.026683
千泷沟站,千泷沟,千泷沟站,BV11491295,113.856724,23.711532
千灯湖公交总站,千灯湖公交总,千灯湖公交总站,BV10500652,113.139296,23.055066
千灯湖地铁站,千灯湖地铁,千灯湖地铁站,BV10329387,113.14881,23.05763
千鹤街中,千鹤街中,千鹤街中站,BV11368662,113.816492,23.22744
千鹤街总站,千鹤街总,千鹤街总站,BV11259174,113.810856,23.229851
千鹤街路口,千鹤街路口,千鹤街路口,BV11137252,113.820766,23.225583
半坑,半坑,半坑,BV09149519,113.15488,23.150074
半岛花园总站,半岛花园总,半岛花园总站,BV10393934,113.174562,23.132542
半径站,半径,半径站,BV11491317,113.838661,23.729801
华严寺,华严寺,华严寺站,BV09313064,113.218099,23.464515
华严寺总站,华严寺总,华严寺总站,BV11430051,113.217997,23.464633
华乐大厦,华乐大厦,华乐大厦,BV10017054,113.281989,23.13754
华侨中学,华侨中学#1,华侨中学站,BV09200357,113.292944,22.808787
华侨中学,华侨中学#2,华侨中学,BV09276327,113.821371,23.283131
华侨农场,华侨农场,华侨农场,BV09317448,113.367298,23.421926
华侨医院(潭村),华侨医院(潭村),华侨医院,BV09067059,113.346504,23.127431
华侨医院(潭村),华侨医院(潭村),华侨医院(潭村),BV10539406,113.346677,23.127401
华侨医院(潭村),华侨医院(潭村),华侨医院(潭村)1,BV09232892,113.34643,23.128053
华侨城,华侨城,华侨城,BV09005810,113.349214,22.935379
华侨城,华侨城,华侨城分站,BV11132734,113.348991,22.936354
华侨城主题公园,华侨城主题公园,华侨城主题公园,BV11266409,113.295906,22.814461
华侨城北门,华侨城北门,华侨城北门,BV10023282,113.346274,22.937249
华侨城欢乐海岸PLUS,华侨城欢乐海岸PLUS,华侨城欢乐海岸PLUS,BV11654362,113.30237,22.82133
华侨城欢乐海岸plus,华侨城欢乐海岸plus,华侨城欢乐海岸plus,BV11686478,113.300485,22.821934
华侨工业园,华侨工业园,华侨工业园,BV10016659,113.275942,23.464271
华兴工业区,华兴工业区,华兴工业区,BV10015571,113.223644,23.350627
华兴综合市场,华兴综合市场,华兴综合市场,BV11643291,113.595917,23.140147
华农基地,华农基地,华农基地,BV10024312,113.630043,23.241601
华农大东北门,华农大东北门,华农大东北门,BV11621852,113.359122,23.161726
华农大正门,华农大正门,华农大正门,BV09242193,113.347622,23.15464
华凯燃气站,华凯燃气,华凯燃气站,BV10840065,113.552173,22.82259
华创产业园一期总站,华创产业园一期总,华创产业园一期总站,BV11337777,113.417671,22.994559
华创动漫产业园路口,华创动漫产业园路口,华创动漫产业园路口,BV11635885,113.415468,23.003929
华南家电研究院,华南家电研究院,华南家电研究院,BV10253574,113.325311,22.816591
华南师范大学(南海校区),华南师范大学(南海校区),华南师范大学(南海校区),BV10253331,113.023296,23.145876
华南师范大学附属南沙中学,华南师范大学附属南沙中学,华南师范大学附属南沙中学站,BV09099112,113.533365,22.818788
华南新城,华南新城,华南新城,BV10014317,113.340816,23.014519
华南新城(沿江东路),华南新城(沿江东路),华南新城(沿江东路),BV11172007,113.345574,23.028685
华南新城(沿江路),华南新城(沿江路),华南新城(沿江路),BV11694314,113.345606,23.028796
华南新城临时公交总站,华南新城临时公交总,华南新城临时公交总站,BV11172008,113.352489,23.02586
华南新城北区西门,华南新城北区西门,华南新城北区西门,BV10015100,113.342103,23.026266
华南新城南区正门,华南新城南区正门,华南新城南区正门站,BV11131945,113.342668,23.022591
华南汽车城东,华南汽车城东,华南汽车城东,BV11689963,113.126212,23.07031
华南汽车城西,华南汽车城西,华南汽车城西,BV11689961,113.118366,23.071163
华南碧桂园,华南碧桂园,华南碧桂园站,BV10014519,113.34301,22.999805
华南碧桂园,华南碧桂园,华南碧桂园(北行),BV11578978,113.342859,23.001096
华南碧桂园,华南碧桂园,华南碧桂园(南行),BV10878382,113.34301,22.999805
华南碧桂园东门,华南碧桂园东门,华南碧桂园东门,BV11688143,113.355303,22.99561
华南纺织创新科技园,华南纺织创新科技园,华南纺织创新科技园,BV10998030,112.948789,23.4424
华南轮胎厂,华南轮胎厂,华南轮胎厂,BV10425402,113.379593,22.958346
华发峰尚花园,华发峰尚花园,华发峰尚花园,BV11283996,113.623156,23.339157
华商学院,华商学院,华商学院,BV11689033,113.772474,23.257102
华商职业学院,华商职业学院,华商职业学院,BV11190506,113.779309,23.257818
华坑村,华坑村,华坑村,BV11627159,113.465674,23.318976
华坑生态村,华坑生态村,华坑生态村,BV10021386,113.485408,23.112287
华坑生态村总站,华坑生态村总,华坑生态村总站,BV10017803,113.484733,23.112536
华坑路,华坑路,华坑路,BV10017802,113.480396,23.107854
华堂街,华堂街,华堂街,BV10660881,113.192508,23.160542
华夏北,华夏北,华夏北,BV10948835,113.171572,23.105502
华夏学院,华夏学院,华夏学院,BV10621021,113.510084,23.57735
华夏学院总站,华夏学院总,华夏学院总站,BV11491307,113.508012,23.578098
华夏路北,华夏路北,华夏路北,BV10021750,113.315763,23.128953
华夏陶瓷城西门,华夏陶瓷城西门,华夏陶瓷城西门,BV10251530,113.004713,22.962005
华山路,华山路,华山路,BV10610424,113.470285,22.962922
华峰寺,华峰寺,华峰寺站,BV09368447,113.556574,23.225633
华峰寺总站,华峰寺总,华峰寺总站,BV11040301,113.557736,23.225874
华峰路(红旗村),华峰路(红旗村),华峰路(红旗村),BV10411318,113.554424,23.220567
华峰路口,华峰路口,华峰路口,BV09368449,113.553308,23.222969
华峰路口总站,华峰路口总,华峰路口总站,BV09097133,113.553308,23.222969
华工,华工,华工站,BV10016015,113.397611,23.049301
华工北路,华工北路,华工北路,BV10388536,113.40946,23.055674
华工北路东,华工北路东,华工北路东,BV10326970,113.40365,23.056719
华工国际校区公交总站,华工国际校区公交总,华工国际校区公交总站,BV09011384,113.395684,23.009577
华工国际校区南门,华工国际校区南门,华工国际校区南门,BV11279315,113.401894,23.010112
华工大,华工大,华工大,BV11485000,113.343709,23.152847
华工大总站,华工大总,华工大总站,BV10017909,113.342532,23.150974
华工广州国际校区北门,华工广州国际校区北门,华工广州国际校区北门,BV09256511,113.399121,23.019764
华工广州国际校区北门,华工广州国际校区北门,华工广州国际校区北门1,BV09274273,113.398644,23.019264
华工正门,华工正门,华工正门,BV10014718,113.404907,23.04712
华工生活区,华工生活区,华工生活区站,BV10016016,113.398686,23.05388
华师,华师#1,华师,BV10014713,113.375181,23.050788
华师,华师#2,华师站,BV09364561,113.340286,23.143278
华师大南门,华师大南门,华师大南门,BV10019585,113.346847,23.13772
华师大厦酒店,华师大厦酒店,华师大厦酒店,BV10558838,113.344145,23.138177
华师生活区(华师一路),华师生活区(华师一路),华师生活区(华师一路),BV10388937,113.378928,23.051776
华师附中,华师附中#1,华师附中站,BV11519158,113.220212,23.43496
华师附中,华师附中#2,华师附中,BV11519159,113.338048,23.13866
华师附中总站,华师附中总,华师附中总站,BV11216107,113.219598,23.432836
华师附中新世界学校,华师附中新世界学校,华师附中新世界学校,BV10014211,113.28852,23.237507
华师附小(东悦湾校区)站,华师附小(东悦湾校区),华师附小(东悦湾校区)站,BV09305899,113.52707,22.813199
华师附属大学城小学,华师附属大学城小学,华师附属大学城小学,BV11069600,113.384488,23.059168
华成路公园站,华成路公园,华成路公园站,BV11622451,113.290229,23.348603
华成路口,华成路口,华成路口站,BV09355190,113.315683,23.122842
华成路总站,华成路总,华成路总站,BV11203684,113.316579,23.123537
华扬路,华扬路,华扬路,BV11619531,113.424032,23.201073
华文航空学校,华文航空学校,华文航空学校,BV09028486,113.109201,23.329564
华景北路,华景北路,华景北路站,BV11095871,113.355271,23.144003
华景北路东,华景北路东,华景北路东,BV11581959,113.359271,23.143507
华景北路口,华景北路口,华景北路口,BV11580708,113.354481,23.143543
华景新城,华景新城#1,华景新城站,BV09244990,113.354434,23.136843
华景新城,华景新城#1,华景新城,BV10014575,113.355911,23.136514
华景新城,华景新城#2,华景新城,BV11578800,113.362741,22.929151
华景新城(南华路),华景新城(南华路),华景新城(南华路),BV10019865,113.36001,22.92773
华景新城(翰景路)总站,华景新城(翰景路)总,华景新城(翰景路)总站,BV11578887,113.354058,23.145289
华景新城总站,华景新城总,华景新城总站,BV10016448,113.359846,23.143434
华景新城总站(翰景路),华景新城总站(翰景路),华景新城总站(翰景路),BV11107113,113.353831,23.145336
华景新城西,华景新城西,华景新城西,BV10016446,113.353184,23.146383
华景新村,华景新村,华景新村,BV10019614,113.353274,23.14086
华景路口,华景路口,华景路口,BV10019613,113.352613,23.138119
华林寺,华林寺,华林寺,BV09242705,113.241747,23.123094
华汇广场站,华汇广场,华汇广场站,BV10016463,113.550948,22.803168
华沙村,华沙村,华沙村,BV11489692,113.424406,23.191511
华泉社区,华泉社区,华泉社区,BV11671077,113.244179,23.168122
华洲路,华洲路,华洲路,BV10018235,113.33999,23.078981
华洲路(华泰西街路口),华洲路(华泰西街路口),华洲路(华泰西街路口),BV10783496,113.343587,23.075319
华洲路中,华洲路中,华洲路中,BV11485266,113.346818,23.075618
华洲路口,华洲路口,华洲路口,BV10783495,113.341252,23.07531
华海大厦,华海大厦,华海大厦,BV10015713,113.270764,23.095344
华海大厦,华海大厦,华海大厦1,BV09317631,113.270151,23.096194
华海工业区,华海工业区,华海工业区,BV10017318,113.185635,23.397985
华海街口,华海街口,华海街口,BV10458379,113.216991,23.182261
华润涂料捷信厂,华润涂料捷信厂,华润涂料捷信厂站,BV11164942,113.355346,22.818586
华润热电厂,华润热电厂,华润热电厂站,BV11664540,113.52443,22.860053
华润瑞府公交总站,华润瑞府公交总,华润瑞府公交总站,BV09302144,113.498068,22.768129
华甫村,华甫村,华甫村,BV11692324,113.511815,23.169155
华盛南路,华盛南路,华盛南路,BV10681249,113.302287,23.086195
华穗路,华穗路,华穗路,BV10022156,113.312991,23.119269
华立学院,华立学院,华立学院,BV10020748,113.857982,23.241918
华立学院总站,华立学院总,华立学院总站,BV11259172,113.858312,23.24211
华美学校,华美学校,华美学校,BV10014430,113.380675,23.201613
华美路(广汕路口),华美路(广汕路口),华美路(广汕路口),BV10014290,113.381185,23.199008
华腾路,华腾路,华腾路,BV11333410,113.419721,22.99509
华腾路口,华腾路口,华腾路口,BV11333409,113.41602,22.990897
华观路,华观路,华观路,BV11689185,113.385021,23.170498
华观路(火炉山森林公园),华观路(火炉山森林公园),华观路(火炉山森林公园),BV10405622,113.38054,23.170636
华观路东,华观路东,华观路东,BV10405901,113.407983,23.169379
华观路中,华观路中,华观路中,BV10405889,113.401792,23.169767
华贵路,华贵路,华贵路,BV09001149,113.236733,23.125672
华贵路口,华贵路口,华贵路口,BV10016189,113.235722,23.126561
华软南门,华软南门,华软南门,BV11393823,113.490407,23.450574
华辉度假村,华辉度假村,华辉度假村,BV10022862,113.633151,23.622876
华辉路东,华辉路东,华辉路东,BV10555310,113.280104,23.458011
华达汽车,华达汽车,华达汽车,BV11449184,113.631399,23.168071
华阳南路,华阳南路,华阳南路,BV10619428,113.145986,22.97331
华阳工业区,华阳工业区,华阳工业区,BV10263115,113.563647,23.077912
华阳村,华阳村,华阳村,BV10263111,113.566086,23.076447
华阳湖湿地公园,华阳湖湿地公园,华阳湖湿地公园,BV10266784,113.564026,23.070427
华阳湖路口,华阳湖路口,华阳湖路口,BV10494263,113.556186,23.056003
华阳湖路口,华阳湖路口,华阳湖路口2,BV11671373,113.557072,23.056128
华风技工学校,华风技工学校,华风技工学校,BV11461727,113.158069,23.374596
华风技校,华风技校,华风技校,BV11581329,113.155416,23.377121
华馨苑,华馨苑,华馨苑,BV10014158,113.590562,23.119274
协和神学院,协和神学院,协和神学院,BV10014203,113.304833,23.251188
南一市场站,南一市场,南一市场站,BV10887809,113.434299,22.776264
南丰汇总站,南丰汇总,南丰汇总站,BV11279057,113.350573,23.100326
南丰路,南丰路,南丰路,BV10252937,112.914183,23.233489
南云一路中,南云一路中,南云一路中,BV10021938,113.437127,23.156202
南云三路中,南云三路中,南云三路中,BV11497596,113.441512,23.152135
南云三路南,南云三路南,南云三路南站,BV10885193,113.443457,23.146816
南云三路口,南云三路口,南云三路口,BV10381758,113.441007,23.155375
南云东街,南云东街,南云东街,BV10019064,113.255798,23.178536
南云二路中,南云二路中,南云二路中,BV10021936,113.440591,23.152173
南云二路北,南云二路北,南云二路北,BV10021937,113.439179,23.154308
南云二路南,南云二路南,南云二路南,BV10388901,113.442394,23.147345
南云五路,南云五路,南云五路站,BV10885177,113.447438,23.145139
南云五路东站,南云五路东,南云五路东站,BV10885178,113.450811,23.148065
南云四路,南云四路,南云四路站,BV10885182,113.449965,23.152931
南云四路(南翔三路口),南云四路(南翔三路口),南云四路(南翔三路口)站,BV10885190,113.447781,23.150513
南井村口,南井村口,南井村口,BV10394325,113.179713,23.089139
南京路小区,南京路小区,南京路小区,BV10013902,113.232671,23.148361
南亭村总站,南亭村总,南亭村总站,BV11630089,113.381351,23.037135
南关,南关,南关,BV10021628,113.265491,23.118533
南北台站,南北台,南北台站,BV09187512,113.593648,22.78131
南区公园(南城路),南区公园(南城路),南区公园(南城路),BV10023259,113.355043,22.924675
南区公园(福德路),南区公园(福德路),南区公园(福德路),BV11688119,113.353986,22.926085
南医大五附院,南医大五附院,南医大五附院,BV11623857,113.566313,23.550847
南华东路,南华东路,南华东路,BV10019504,113.267013,23.113647
南华中,南华中,南华中,BV10021629,113.260403,23.112773
南华工商学院,南华工商学院,南华工商学院,BV10013967,113.320606,23.170376
南华工贸高级技工学校,南华工贸高级技工学校,南华工贸高级技工学校,BV09283807,113.484205,22.884761
南华广场,南华广场,南华广场,BV11120154,113.208958,23.386976
南华路,南华路,南华路,BV10407069,113.36522,22.927262
南双玉工业区,南双玉工业区,南双玉工业区,BV11607757,113.299584,22.940842
南双玉村,南双玉村,南双玉村,BV11688132,113.303193,22.940316
南双玉村总站,南双玉村总,南双玉村总站,BV10019952,113.301535,22.939941
南周,南周,南周,BV11488077,113.217825,23.246172
南园花园大街,南园花园大街,南园花园大街,BV10018127,113.541696,23.091365
南国奥园,南国奥园,南国奥园站,BV10019637,113.315809,22.991611
南国奥林匹克花园总站,南国奥林匹克花园总,南国奥林匹克花园总站,BV10388943,113.317256,22.991936
南国小商品城,南国小商品城,南国小商品城,BV10254833,113.145852,23.10407
南国幼儿园,南国幼儿园,南国幼儿园,BV11141184,113.261773,22.8305
南坑口,南坑口,南坑口,BV11126374,113.903277,23.895064
南城路北,南城路北,南城路北,BV09082668,113.356155,22.929702
南埔街,南埔街,南埔街,BV11627194,113.495572,23.337176
南塘经济社,南塘经济社,南塘经济社,BV09022795,113.179801,23.468785
南壆村,南壆村,南壆村,BV11119342,113.746322,23.208455
南大干线(塘埗西),南大干线(塘埗西),南大干线(塘埗西),BV09189704,113.334702,23.014446
南大干线(市新路口),南大干线(市新路口),南大干线(市新路口),BV11619316,113.401063,23.021189
南大干线(曾边村),南大干线(曾边村),南大干线(曾边村),BV11619470,113.405231,23.023736
南大干线(汽车小镇),南大干线(汽车小镇)#1,南大干线,BV11646397,113.495936,23.017455
南大干线(汽车小镇),南大干线(汽车小镇)#1,南大干线(汽车小镇),BV09391139,113.495936,23.017455
南大干线(汽车小镇),南大干线(汽车小镇)#2,南大干线,BV09272791,113.334702,23.014446
南大干线(礼村),南大干线(礼村),南大干线(礼村),BV09191548,113.309864,23.01674
南大干线(金轩一路),南大干线(金轩一路),南大干线(金轩一路),BV09380918,113.484799,23.029405
南大干线(金轩一路口),南大干线(金轩一路口),南大干线(金轩一路口),BV11686082,113.485577,23.027159
南大干线(金轩二路口),南大干线(金轩二路口),南大干线(金轩二路口),BV11686084,113.489452,23.023967
南大路口,南大路口,南大路口站,BV11688093,113.334229,23.011916
南天商业城,南天商业城,南天商业城,BV10852006,113.292469,23.059093
南头,南头,南头,BV10619439,112.902021,23.335387
南奥实验学校,南奥实验学校,南奥实验学校,BV10014953,113.319963,22.99419
南安村,南安村,南安村站,BV11690299,113.553203,23.120615
南山,南山,南山,BV11152945,113.791024,23.74268
南山丰景花园,南山丰景花园,南山丰景花园站,BV09368448,113.600565,23.197241
南山公园,南山公园#1,南山公园,BV10014331,113.385483,23.011615
南山公园,南山公园#2,南山公园,BV10322930,113.539699,23.091743
南山经济社,南山经济社,南山经济社,BV10019390,113.188091,23.471348
南山西路南,南山西路南,南山西路南,BV10388650,113.545882,23.089178
南岗,南岗,南岗站,BV11687851,113.536821,23.098835
南岗(总站),南岗(总站),南岗(总站),BV09074314,113.533287,23.104699
南岗万达广场总站,南岗万达广场总,南岗万达广场总站,BV11662007,113.546143,23.100806
南岗万达广场站,南岗万达广场,南岗万达广场站,BV09297715,113.544027,23.10252
南岗化工厂,南岗化工厂,南岗化工厂站,BV10714253,113.534208,23.095748
南岗总站,南岗总,南岗总站,BV10017343,113.537462,23.099146
南岗沧头,南岗沧头,南岗沧头站,BV09108103,113.548505,23.117878
南岗码头,南岗码头,南岗码头,BV11634406,113.548039,23.086565
南岗西路口,南岗西路口,南岗西路口,BV10018125,113.534467,23.093895
南岭中路,南岭中路,南岭中路,BV10022763,113.290919,23.273062
南岭中路口,南岭中路口,南岭中路口,BV10022764,113.291072,23.271273
南岭工业区中路,南岭工业区中路,南岭工业区中路,BV10022762,113.295712,23.272264
南岭工业区五横路口,南岭工业区五横路口,南岭工业区五横路口,BV11560714,113.297206,23.265891
南岭工业区八横路,南岭工业区八横路,南岭工业区八横路,BV10022758,113.299434,23.269751
南岭工业区南路,南岭工业区南路,南岭工业区南路,BV10022760,113.297107,23.270352
南岭工业区南路东,南岭工业区南路东,南岭工业区南路东,BV10022759,113.298233,23.270476
南岭工业区四横路,南岭工业区四横路,南岭工业区四横路,BV10022761,113.296752,23.271572
南岭村委,南岭村委,南岭村委,BV10021416,113.291131,23.273742
南岭村总站,南岭村总,南岭村总站,BV10021415,113.28931,23.273455
南岭桥头南街口,南岭桥头南街口,南岭桥头南街口,BV10021417,113.293466,23.27409
南岸路,南岸路,南岸路,BV09006129,113.225493,23.136643
南岸路口,南岸路口,南岸路口,BV11371499,113.225603,23.130744
南平村委,南平村委,南平村委,BV11115198,113.714975,23.552685
南庄,南庄,南庄,BV11332854,113.506194,23.446389
南庄中学,南庄中学,南庄中学,BV10251515,113.030583,22.985524
南庄医院站,南庄医院,南庄医院站,BV11688711,113.004354,22.981115
南庄大道一环路口,南庄大道一环路口,南庄大道一环路口,BV10251529,113.01304,22.982731
南庄大道东,南庄大道东,南庄大道东,BV11484489,113.052666,22.985731
南庄大道中,南庄大道中,南庄大道中,BV10450580,113.025918,22.986124
南庄大道公交临时站,南庄大道公交临时,南庄大道公交临时站,BV10614490,113.045271,22.985994
南庄大道罗格路口,南庄大道罗格路口,南庄大道罗格路口,BV09083717,113.022669,22.985626
南庄文化中心站,南庄文化中心,南庄文化中心站,BV11462181,113.002291,22.985206
南庄枢纽站,南庄枢纽,南庄枢纽站,BV10471176,113.005398,22.958657
南庄道班站,南庄道班,南庄道班站,BV10251528,113.022093,22.98554
南庄镇政府站,南庄镇政府,南庄镇政府站,BV10251517,113.009103,22.983544
南府路站,南府路,南府路站,BV11370954,113.518716,22.802677
南庭路,南庭路,南庭路,BV09243543,113.369336,22.925375
南悦花苑,南悦花苑,南悦花苑,BV11154136,113.25486,23.215034
南悦花苑总站,南悦花苑总,南悦花苑总站,BV10828444,113.254117,23.215147
南方医科大学,南方医科大学,南方医科大学,BV10013965,113.331918,23.190712
南方医科大学第七附属医院,南方医科大学第七附属医院,南方医科大学第七附属医院,BV11652172,113.145841,23.20783
南方医院,南方医院,南方医院,BV11688389,113.322477,23.190771
南方医院,南方医院,南方医院2,BV09199575,113.322322,23.19028
南方医院,南方医院,南方医院1,BV09293281,113.322293,23.191045
南方医院,南方医院,南方医院(停北行),BV09310986,113.322484,23.190594
南方医院(白云分院)总站,南方医院(白云分院)总,南方医院(白云分院)总站,BV09314894,113.267985,23.213981
南方医院(白云院区)总站,南方医院(白云院区)总,南方医院(白云院区)总站,BV11675549,113.267112,23.214
南方医院增城分院,南方医院增城分院,南方医院增城分院,BV09356204,113.619932,23.15988
